Source,Target,Weight
smitten,kitchen,1
kitchen,boulder,1
kitchen,smell,1
boulder,dramat,1
dramat,intersect,1
intersect,two,1
two,favorit,1
favorit,thing,1
thing,cinnamon,1
thing,’,2
cinnamon,bake,1
cinnamon,crumb,1
cinnamon,peak,1
bake,appl,1
bake,cake,1
appl,thick,1
appl,skip,1
appl,use,1
appl,creat,1
appl,enough,1
appl,brown,1
thick,crumb,1
thick,wedg,1
crumb,cake,3
crumb,top,2
crumb,small,1
cake,’,4
cake,new,1
cake,hefti,1
cake,think,1
cake,almost,1
’,know,1
’,genteel,1
’,50,1
’,want,2
’,option,1
’,still,1
’,made,1
’,back,1
’,miss,1
’,photograph,1
’,differ,1
’,editori,1
know,make,1
make,crumb,1
new,york,2
new,jersey,1
new,thing,1
new,one,1
york,grew,1
york,real,1
grew,new,1
jersey,crumb,1
genteel,cinnamon-ribbon,1
cinnamon-ribbon,fine,1
fine,streusel-,1
streusel-,coffe,1
coffe,cake,1
hefti,squar,1
squar,’,1
50,crumb,1
50,golden,1
top,50,1
top,alway,1
golden,sour,1
sour,cream-enrich,1
cream-enrich,cake,1
want,way,1
want,share,1
way,thank,1
thank,brown,1
brown,sugar,2
sugar,cinnamon,2
sugar,’,1
alway,dark,1
dark,stripe,1
stripe,snow-cap,1
snow-cap,powder,1
powder,sugar,1
option,fruit,1
fruit,good,1
good,fresh,1
good,luck,1
fresh,appl,1
skip,loud,1
loud,attention-demand,1
attention-demand,cake,1
still,talk,1
talk,cake,1
think,delic,1
delic,slice,1
slice,dice,1
dice,appl,1
use,full,1
full,pound,1
pound,thick,1
wedg,snug,1
snug,tightli,1
tightli,bare,1
bare,fit,1
fit,confin,1
confin,all-too-accur,1
all-too-accur,new,1
real,estat,1
estat,stori,1
stori,squeez,1
squeez,crumb,1
small,hand,1
hand,break,1
break,appl,1
break,pull,1
creat,boulder-lik,1
boulder-lik,piec,1
piec,bake,1
almost,hour,1
hour,slightli,1
slightli,lower,1
lower,temperatur,1
temperatur,give,1
give,appl,1
enough,time,1
time,get,1
get,tender,1
get,busi,1
get,rid,1
tender,juic,1
juic,bubbl,1
bubbl,kitchen,1
smell,minimum,1
minimum,like,1
like,bliss,1
like,sparkli,1
bliss,epiphani,1
epiphani,appl,1
peak,melodrama,1
melodrama,absolut,1
absolut,best,1
best,decis,1
decis,’,1
made,yet,1
yet,octob,1
octob,’,1
back,’,1
miss,never,1
never,intend,1
intend,take,1
take,long,1
long,break,1
pull,vacat,1
vacat,short,1
short,manuscript,1
manuscript,deadlin,1
deadlin,next,1
next,book,1
book,quick,1
quick,two-week,1
two-week,photoshoot,1
photoshoot,100,1
100,recip,1
recip,10,1
recip,alreadi,1
recip,develop,1
10,day,1
day,oh,1
oh,btw,1
btw,’,1
photograph,emerg,1
emerg,like,1
sparkli,new,1
share,recip,1
alreadi,readi,1
readi,new,1
one,piqu,1
one,thing,1
one,life,1
piqu,interest,1
interest,buri,1
buri,one,1
differ,sk,1
sk,sometim,1
sometim,better,1
better,occasion,1
occasion,wors,1
wors,’,1
editori,recip,1
develop,staff,1
staff,one,1
life,get,1
busi,central,1
central,dedic,1
dedic,space,1
space,—,1
—,turn,1
—,remain,1
turn,15,1
15,fall,1
fall,—,1
remain,unchang,1
unchang,good,1
luck,ever,1
ever,get,1
rid,good,1
