Source,Target,Weight
cover,photo,1
cover,time,1
photo,bist,1
bist,confer,1
bist,program,1
bist,model,2
bist,behavior,1
confer,provid,1
confer,draw,1
provid,guest,1
provid,opportun,1
guest,interviewe,1
interviewe,marti,1
marti,huitt,1
marti,serv,1
marti,train,1
marti,publish,1
marti,taken,1
marti,’,1
marti,chang,1
huitt,season,1
season,educ,1
educ,visionari,1
educ,intervent,1
educ,annual,1
educ,one,1
educ,reflect,1
educ,share,1
educ,pe,1
visionari,leader,1
leader,dedic,1
leader,teacher,1
dedic,revolution,1
revolution,school,1
school,support,1
school,nine,1
school,suburb,1
support,children,1
support,team,2
support,330,1
support,strategi,1
children,struggl,1
children,’,1
struggl,behavior,3
struggl,truli,1
behavior,academ,1
behavior,intervent,2
behavior,chang,1
behavior,pick,1
behavior,posit,1
academ,challeng,1
challeng,two,1
two,decad,1
decad,marti,1
serv,director,1
director,behavior,1
intervent,support,4
team,bist,1
team,nationwid,1
team,build,1
program,kansa,1
kansa,citi,2
citi,missouri,2
missouri,shape,1
missouri,work,1
shape,landscap,1
landscap,educ,1
330,school,1
nine,state,1
state,across,1
across,countri,1
countri,steadfast,1
steadfast,commit,1
commit,foster,1
foster,environ,1
foster,famili,1
environ,empathi,1
empathi,understand,1
understand,marti,1
train,"4,000",1
"4,000",educ,1
annual,coach,1
coach,leader,1
coach,howev,1
teacher,team,1
teacher,parent,1
teacher,emot,1
teacher,coach,1
nationwid,equip,1
equip,tool,1
tool,strategi,1
strategi,need,1
strategi,”,1
need,empow,1
need,”,1
empow,student,1
student,teacher,1
student,februari,1
student,team-bas,1
student,adult,1
student,struggl,3
student,content,1
student,deserv,1
student,residenti,1
parent,alik,1
parent,someth,1
alik,champion,1
champion,bist,1
model,transform,1
model,instil,1
model,opportun,1
transform,trauma-inform,1
trauma-inform,approach,1
approach,center,1
center,nurtur,1
nurtur,share,1
share,belief,1
share,“,1
belief,system,1
system,among,1
among,educ,1
one,priorit,1
one,educ,1
priorit,compass,1
compass,consist,1
consist,care,1
care,student,1
februari,marti,1
publish,first,1
first,book,1
book,``,1
``,cultiv,1
cultiv,behavior,1
chang,k-12,1
chang,respect,1
chang,sens,1
chang,life,1
k-12,student,1
team-bas,intervent,1
”,comprehens,1
”,“,1
”,start,1
comprehens,text,1
text,cover,1
time,topic,1
time,collabor,1
time,educ,1
topic,includ,1
includ,foster,1
famili,partnership,1
partnership,increas,1
increas,teach,1
teach,time,1
teach,student,1
teach,sever,1
teach,liberti,1
teach,implement,1
collabor,student,1
collabor,frequent,1
adult,creat,1
creat,last,1
last,chang,1
respect,author,1
author,field,1
field,marti,1
taken,stage,1
stage,keynot,1
keynot,speaker,1
speaker,sever,1
sever,nation,1
sever,year,1
nation,confer,1
draw,charisma,1
charisma,fervent,1
fervent,passion,1
passion,bist,1
instil,hope,1
hope,resili,1
resili,educ,1
reflect,marti,1
’,impact,1
’,success,1
impact,one,1
impact,student,1
“,listen,1
“,accident,1
listen,learn,1
learn,marti,1
sens,oblig,1
oblig,student,1
truli,chang,1
life,point,1
life,impact,1
point,began,1
began,see,1
see,purpos,1
see,key,1
purpos,teach,1
content,work,1
work,life,1
work,student,1
work,9th-grade,1
deserv,least,1
least,need,1
accident,”,1
start,teacher,1
emot,disturb,1
disturb,student,1
residenti,facil,1
residenti,went,1
facil,1990,1
1990,origin,1
origin,goal,1
goal,pe,1
pe,teacher,1
pe,posit,1
howev,time,1
posit,avail,1
posit,work,1
posit,provid,1
avail,numer,1
avail,posit,1
numer,avail,1
pick,addit,1
addit,certif,1
certif,teach,1
year,residenti,1
went,liberti,1
liberti,public,1
liberti,introduc,1
public,school,1
suburb,kansa,1
9th-grade,student,1
opportun,collabor,1
opportun,becom,1
frequent,parent,1
someth,see,1
key,children,1
success,classroom,1
classroom,teach,1
introduc,bist,1
build,teach,1
implement,model,1
becom,lead,1
lead,teacher,1
