Source,Target,Weight
cover,imag,1
imag,rick,1
rick,brown,1
brown,pixabay,1
pixabay,crystal,1
crystal,dimic,1
dimic,founder,1
founder,forc,1
forc,natur,1
natur,llc,1
llc,environment,1
environment,educ,1
environment,project,1
educ,compani,1
educ,program,2
educ,curriculum,1
educ,school,1
educ,alreadi,1
educ,materi,1
educ,reinforc,1
educ,session,1
compani,util,1
util,educ,1
program,podcast,1
program,design,1
program,ecoact,1
program,base,1
podcast,product,1
product,teach,1
teach,peopl,1
teach,administr,1
teach,topic,1
teach,student,1
teach,suffici,1
teach,action,1
peopl,incorpor,1
incorpor,sustain,2
incorpor,climat,1
incorpor,lesson,1
sustain,everyday,1
sustain,educ,1
everyday,live,1
live,learn,1
learn,offer,1
learn,fact,1
learn,opportun,1
learn,broaden,1
offer,www.forcesfornature.com,1
offer,time,1
www.forcesfornature.com,help,1
help,teacher,1
help,captiv,1
help,address,1
help,avoid,1
teacher,look,1
teacher,feel,1
teacher,take,1
teacher,help,1
look,incorpor,1
curriculum,provid,1
curriculum,difficult,1
provid,program,1
design,take,1
take,student,1
take,individu,1
take,advantag,1
take,engag,1
student,beyond,1
student,includ,1
student,use,1
student,analyz,1
student,help,1
student,foster,1
beyond,learn,1
fact,figur,1
figur,climat,1
climat,chang,8
climat,scienc,1
climat,educ,2
chang,answer,1
chang,educ,2
chang,kill,1
chang,becom,1
chang,help,1
chang,resourc,1
chang,overwhelm,1
answer,question,1
question,“,1
“,could,1
could,possibl,1
possibl,”,1
”,new,1
new,educ,1
ecoact,lab,1
lab,standards-align,1
standards-align,turnkey,1
turnkey,program,1
base,behavior-chang,1
behavior-chang,psycholog,1
psycholog,focus,1
focus,highest-impact,1
highest-impact,action,1
action,take,2
individu,reduc,1
reduc,carbon,1
carbon,footprint,1
footprint,’,1
’,adapt,1
adapt,in-class,1
in-class,after-school,1
after-school,club,1
club,activ,1
activ,incorpor,1
school,involv,1
school,must,1
school,commun,1
involv,sever,1
involv,wider,1
sever,key,1
key,challeng,1
key,endless,1
challeng,requir,1
challeng,potenti,1
challeng,wade,1
requir,multi-facet,1
multi-facet,approach,1
approach,solv,1
approach,classroom,1
solv,primari,1
primari,challeng,1
potenti,solut,1
solut,fit,1
solut,success,1
fit,climat,1
alreadi,pack,1
alreadi,taught,1
pack,curriculum,1
difficult,school,1
must,balanc,1
balanc,wide,1
wide,rang,1
rang,subject,1
subject,may,1
subject,improv,1
subject,approach,1
may,struggl,1
may,hesit,1
struggl,find,1
find,time,1
find,one,1
time,addit,1
time,resourc,1
addit,content,1
content,resourc,1
resourc,make,1
resourc,teacher,1
resourc,digit,1
resourc,student,1
resourc,avail,1
make,suggest,1
make,sensit,1
suggest,frame,1
frame,lesson,1
lesson,alreadi,1
lesson,good,1
taught,len,1
len,climat,1
kill,two,1
two,bird,1
bird,one,1
one,stone,1
one,align,1
stone,speak,1
speak,teacher,1
feel,confid,1
confid,understand,1
confid,effect,1
understand,climat,1
scienc,therefor,1
therefor,may,1
hesit,teach,1
administr,need,1
need,offer,1
need,teach,1
advantag,profession,1
profession,develop,1
develop,opportun,1
develop,dissemin,1
opportun,subject,1
opportun,resourc,1
improv,confid,1
effect,teach,1
topic,climat,1
topic,misinform,1
topic,student,1
becom,polit,1
polit,social,1
social,charg,1
charg,topic,1
misinform,differ,1
misinform,controversi,1
differ,opinion,1
opinion,make,1
sensit,subject,1
classroom,develop,1
dissemin,high-qual,1
high-qual,engag,1
engag,scientif,1
engag,respect,1
engag,local,1
scientif,accur,1
accur,educ,1
materi,support,1
support,teacher,1
support,network,1
captiv,student,1
includ,interact,1
interact,resourc,1
digit,tool,1
tool,project-bas,1
project-bas,learn,1
use,evid,1
evid,draw,1
draw,conclus,1
conclus,strongest,1
strongest,encourag,1
encourag,critic,1
critic,think,1
critic,engag,1
think,open,1
open,discuss,1
discuss,climat,1
address,misinform,1
controversi,teach,1
analyz,sourc,1
sourc,critic,1
respect,debat,1
debat,key,1
endless,amount,1
amount,climat,1
avail,internet,1
internet,challeng,1
wade,find,1
align,standard,1
standard,need,1
suffici,qualiti,1
qualiti,climat,1
overwhelm,distress,1
distress,topic,1
avoid,incorpor,1
good,news,1
news,solut,1
success,stori,1
stori,happen,1
happen,teach,1
local,environment,1
project,order,1
project,event,1
order,empow,1
empow,student,1
foster,sens,1
sens,control,1
control,agenc,1
agenc,involv,1
wider,school,1
commun,parent,1
commun,project,1
parent,climat,1
reinforc,learn,1
broaden,impact,1
impact,commun,1
event,educ,1
session,build,1
build,support,1
network,climat,1
