Source,Target,Weight
smitten,kitchen,1
kitchen,five,1
five,minut,1
five,year,1
minut,—,1
—,rememb,1
—,thought,1
—,sprite,1
—,tri,1
rememb,infant,1
infant,6,1
6,year-old,1
year-old,two,1
two,full-tim,1
full-tim,job,1
job,big,1
big,apart,1
apart,intern,1
intern,busi,1
busi,trip,1
trip,month,1
month,sadli,1
sadli,mine,1
mine,doubt,1
doubt,actual,1
actual,made,1
actual,candy-thiev,1
made,whatev,1
whatev,requir,1
requir,pull,1
requir,new,1
pull,—,1
pull,first,1
thought,might,1
might,friendsgiv,1
friendsgiv,dinner,1
dinner,parti,2
dinner,wrote,1
parti,year,1
parti,everyth,1
year,love,1
year,ago,1
love,thanksgiv,1
thanksgiv,want,1
thanksgiv,dinner,1
thanksgiv,ever,1
want,life,1
life,ditto,1
ditto,friend,1
friend,also,1
friend,’,1
also,dinner,1
everyth,go,1
everyth,els,1
go,awesom,1
awesom,’,1
’,plan,1
’,turkey,1
’,ever,1
’,classicist,1
’,endur,1
’,pull,1
’,alway,1
’,upend,1
’,reduc,1
’,hope,1
’,build,1
plan,menu,1
plan,fun,1
menu,perfect,1
perfect,thanksgiv,1
wrote,head,1
head,probabl,1
probabl,five,1
ago,hear,1
hear,alton,1
alton,brown,1
brown,’,1
turkey,recip,1
recip,one,1
one,’,1
one,texa,1
ever,need,1
ever,amiright,1
need,dri,1
dri,brine,1
dri,white,1
brine,mayb,1
mayb,lacquer,1
mayb,mash-up,1
mayb,import,1
lacquer,thing,1
thing,mayb,1
mash-up,mayb,1
import,smoke,1
smoke,one,1
texa,chill,1
chill,host,1
host,histori,1
histori,thanksgiv,1
amiright,right,1
right,well,1
well,everyth,1
els,plan,1
els,overdid,1
fun,began,1
began,decid,1
decid,new,1
new,tradit,1
new,special,1
tradit,requir,1
tradit,obnoxi,1
tradit,tripl,1
special,cocktail,1
cocktail,would,1
would,forev,1
would,concentr,1
forev,tie,1
tie,time,1
time,place,1
place,gener,1
place,like,1
gener,’,1
classicist,sangria,1
sangria,like,1
sangria,—,2
sangria,dream,1
sangria,blasphemist,1
like,us,1
like,hint,1
like,everyon,1
us,’,1
endur,sort,1
sort,disturb,1
disturb,ingredi,1
ingredi,masquerad,1
ingredi,’,1
masquerad,sangria,1
sprite,frozen,1
frozen,lemonad,1
lemonad,coconut,1
coconut,rum,1
rum,basil,1
basil,ton,1
ton,sugar,1
sugar,whhhi,1
whhhi,ingredi,1
first,googl,1
googl,result,1
result,sangria,1
result,even,1
tri,mess,1
mess,’,1
alway,work,1
work,turn,1
turn,’,1
upend,tradit,1
obnoxi,make,1
make,appl,1
appl,cider,2
appl,brandi,1
appl,like,1
appl,farm,1
cider,sangria,1
cider,’,1
dream,red,1
red,wine,1
wine,use,1
use,dri,1
use,appl,2
use,mix,1
white,brandi,1
brandi,use,1
brandi,calvado,1
calvado,instead,1
instead,splash,1
splash,juic,1
juic,use,1
reduc,would,1
concentr,flavor,1
flavor,kept,1
kept,less,1
less,tradit,1
less,sangria,1
tripl,sec,1
sec,place,1
hint,orang,1
orang,skip,1
skip,less,1
blasphemist,fruit,1
fruit,use,1
mix,appl,1
everyon,els,1
overdid,appl,1
farm,octob,1
octob,result,1
even,better,1
better,’,1
hope,apple-i,1
apple-i,adult,1
adult,way,1
way,subtl,1
subtl,terribl,1
terribl,sweet,1
sweet,kid,1
kid,ran,1
ran,hallway,1
hallway,sugar-demon,1
sugar-demon,haze,1
haze,trick-or-tr,1
trick-or-tr,friend,1
build,last,1
last,weekend,1
weekend,grownup,1
grownup,got,1
got,sip,1
sip,glass,1
glass,uh,1
uh,grown-up,1
grown-up,candi,1
candi,save,1
save,actual,1
candy-thiev,fall,1
fall,asleep,1
asleep,parent,1
parent,privileg,1
privileg,cours,1
