Source,Target,Weight
’,much,1
’,take,1
’,realiz,1
’,trade,1
’,time,1
’,plan,1
’,use,1
’,know,1
’,see,1
’,might,1
’,even,1
’,realli,1
’,real,1
’,easi,1
’,want,1
much,love,1
much,get,1
love,much,1
love,differ,1
get,natur,1
natur,activ,1
natur,offer,1
natur,antimicrobi,1
natur,odor,1
activ,although,1
activ,outdoorsi,1
although,last,1
although,’,1
last,count,1
last,summer,1
count,finger,1
finger,20,1
20,month,1
month,incred,1
incred,difficult,1
difficult,one,1
one,silver,1
silver,line,1
line,fact,1
fact,pandem,1
fact,case,1
fact,take,1
pandem,lead,1
lead,mani,1
mani,us,1
us,spend,1
spend,time,1
time,outdoor,1
time,littl,1
time,shirt,1
outdoor,ever,1
ever,weekend,1
weekend,kayak,1
kayak,trip,1
kayak,hike,1
trip,epic,1
epic,mountain,1
epic,hike,1
mountain,trek,1
trek,’,1
take,full,1
take,littl,1
full,advantag,1
full,favorit,1
full,disclosur,1
advantag,fresh,1
fresh,air,1
air,natur,1
offer,—,1
offer,littl,1
—,arizona,1
—,also,1
—,worn,1
—,color,1
arizona,camper,1
camper,van,1
van,adventur,1
adventur,plan,1
adventur,day,1
plan,decemb,1
plan,go,1
decemb,intent,1
intent,stop,1
stop,talk,1
talk,friend,1
talk,lot,1
friend,excit,1
excit,outing,1
outing,’,1
realiz,’,1
trade,tip,1
tip,trick,1
trick,go,1
go,—,1
go,backpack,1
also,talk,1
also,appreci,1
lot,gear,1
lot,everi,1
gear,wear,1
gear,goodi,1
wear,use,1
use,would,1
use,love,1
use,often,1
would,buy,1
buy,figur,1
figur,’,1
littl,product,1
littl,extra,1
littl,protect,1
littl,room,1
product,round-up,1
round-up,full,1
favorit,activ,1
outdoorsi,gear,1
goodi,keep,1
keep,mind,1
mind,all-encompass,1
all-encompass,pack,1
pack,list,1
pack,’,1
list,although,1
list,find,1
backpack,look,1
look,list,1
look,smell,1
look,cute,1
find,dream,1
dream,alpin,1
alpin,amaz,1
amaz,resourc,1
resourc,thing,1
thing,’,1
differ,type,1
type,adventur,1
day,overnight,1
day,end,1
day,colorado,1
overnight,kayak,1
hike,could,1
hike,cloth,1
hike,crest,1
could,help,1
help,round,1
round,suppli,1
suppli,fun,1
fun,fact,1
case,’,1
know,merino,1
merino,wool,1
wool,natur,1
antimicrobi,make,1
make,natur,1
odor,resist,1
resist,part,1
part,’,1
see,use,1
often,hike,1
cloth,may,1
may,worn,1
worn,sever,1
worn,okay,1
worn,shirt,1
sever,day,1
end,put,1
put,silki,1
put,right,1
silki,soft,1
soft,shirt,1
shirt,test,1
shirt,dri,1
shirt,fish,1
test,surprisingli,1
surprisingli,steami,1
steami,day,1
colorado,last,1
summer,attest,1
attest,work,1
work,’,1
might,rememb,1
rememb,sweat,1
sweat,lot,1
everi,time,1
dri,look,1
smell,like,1
like,’,1
even,worn,1
even,’,1
okay,full,1
disclosur,—,1
fish,mostli,1
fish,instead,1
mostli,’,1
realli,fish,1
realli,glad,1
instead,layer,1
layer,aforement,1
aforement,ibex,1
ibex,tee,1
tee,littl,1
extra,sun,1
sun,protect,1
sun,came,1
protect,epic,1
protect,element,1
crest,butt,1
butt,aspen,1
aspen,via,1
via,maroon,1
maroon,bell,1
bell,sinc,1
sinc,trail,1
trail,offer,1
element,realli,1
glad,abl,1
abl,roll,1
roll,long,1
long,sleev,1
sleev,cover,1
cover,arm,1
arm,sun,1
came,plu,1
plu,let,1
let,’,1
real,—,1
color,gorgeou,1
gorgeou,look,1
cute,also,1
appreci,fact,1
room,pack,1
easi,option,1
option,hand,1
hand,even,1
want,put,1
right,away,1
