Source,Target,Weight
guy,know,1
know,fabul,1
know,agre,1
fabul,mind-blow,1
mind-blow,kati,1
kati,bowman,3
kati,preorder,1
kati,’,1
bowman,work,1
bowman,chang,1
bowman,tip,1
work,right,1
work,great,1
right,convers,1
convers,great,1
great,primer,1
great,work,1
great,blog,1
primer,best-sel,1
best-sel,author,1
author,speaker,1
speaker,leader,1
leader,movement,1
movement,movement,1
movement,biomechanist,1
movement,eight,1
movement,badass,1
movement,year,1
movement,nature…on,1
biomechanist,kati,1
chang,way,1
way,move,1
way,later,1
move,think,1
move,dna,1
move,—,1
move,definit,1
move,fambam,1
move,famili,1
think,need,1
need,movement,1
eight,book,1
book,includ,1
book,—,1
book,’,1
book,launch,1
book,thrill,1
book,enter,1
includ,groundbreak,1
includ,purchas,1
groundbreak,move,1
dna,translat,1
translat,dozen,1
dozen,languag,1
languag,worldwid,1
worldwid,basic,1
basic,’,1
’,movement,1
’,turn,1
’,get,1
’,new,1
’,truli,1
’,spread,1
badass,new,1
new,book,3
—,grow,1
—,way,1
—,plu,1
grow,wild,1
wild,whole-child,1
whole-child,whole-famili,1
whole-famili,nature-rich,1
nature-rich,guid,1
guid,move,1
later,spring,1
spring,bit,1
bit,—,1
plu,giveaway,1
giveaway,opp,1
giveaway,tell,1
opp,’,1
turn,attent,1
attent,make,1
make,small,1
make,lemonad,1
small,adjust,1
small,commiss,1
adjust,environ,1
environ,hous,1
hous,cloth,1
cloth,classroom,1
classroom,even,1
even,celebr,1
celebr,movement,1
year,onlin,1
onlin,learn,1
onlin,book,1
learn,screen,1
screen,gather,1
gather,gosh,1
gosh,know,1
agre,could,1
could,use,1
use,littl,1
use,post,1
littl,time,1
time,outsid,1
outsid,move,1
definit,pre-ord,1
pre-ord,book,1
get,kind,1
get,move,1
kind,goodi,1
goodi,like,1
like,printabl,1
like,sign,1
printabl,checklist,1
checklist,ticket,1
ticket,live,1
live,onlin,1
launch,parti,1
parti,q,1
q,chanc,1
chanc,win,1
win,one-on-on,1
win,copi,1
one-on-on,consult,1
consult,kati,1
preorder,month,1
month,read,1
read,13,1
read,end,1
read,realli,1
13,fun,1
fun,uniqu,1
uniqu,idea,1
idea,get,1
fambam,read,1
end,enter,1
enter,win,1
enter,click,1
copi,new,1
copi,kati,1
thrill,give,1
give,away,1
away,copi,1
click,huge,1
huge,thank,1
thank,kati,1
thank,support,1
thank,share,3
thank,🙂,1
thank,much,1
tip,giveaway,1
tell,us,1
us,move,1
us,thank,1
famili,today,1
today,gwen,1
gwen,beg,1
beg,make,1
lemonad,scratch,1
scratch,seem,1
seem,like,1
sign,—jenn,1
—jenn,ftc,1
ftc,disclosur,1
disclosur,often,1
often,receiv,1
receiv,product,1
receiv,compens,1
receiv,small,1
product,compani,1
compani,review,1
review,thought,1
review,content,1
thought,opinion,1
opinion,alway,1
alway,entir,1
alway,find,1
entir,unless,1
unless,otherwis,1
otherwis,state,1
state,receiv,1
compens,review,1
content,pure,1
pure,editori,1
editori,affili,1
affili,link,1
link,may,2
may,includ,1
may,receiv,1
purchas,someth,1
someth,one,1
someth,interest,1
one,link,1
commiss,thank,1
support,use,1
post,thank,1
share,’,1
share,excel,1
share,good,1
share,valuabl,1
truli,valuabl,1
valuabl,knowledg,1
valuabl,articl,1
knowledg,similar,1
similar,topic,1
topic,amaz,1
amaz,success,1
amaz,write-up,1
success,day,1
day,amaz,1
write-up,alway,1
find,someth,1
interest,combin,1
combin,movement,1
nature…on,favorit,1
favorit,thing,1
thing,children,1
children,left,1
left,nest,1
nest,’,1
spread,word,1
word,social,1
social,media,1
media,love,1
love,thank,1
🙂,–fbg,1
–fbg,jenn,1
jenn,sound,1
sound,awesom,1
awesom,keep,1
keep,great,1
blog,simpli,1
blog,us,1
simpli,best,1
best,describ,1
describ,thank,1
excel,read,1
realli,posit,1
posit,thank,1
good,blog,1
much,share,1
