Source,Target,Weight
samantha,jensen,1
samantha,current,1
jensen,samantha,1
current,level,1
level,4,1
4,psycholog,1
psycholog,student,1
student,univers,1
student,abil,1
student,voic,1
student,higher,1
student,experi,1
student,encount,1
student,undergradu,1
student,find,1
student,’,1
univers,glasgow,1
univers,set,1
univers,journey,1
univers,rememb,1
glasgow,uofg,1
uofg,passion,1
uofg,keen,1
passion,delv,1
passion,propel,1
passion,student,1
delv,realm,1
delv,world,1
realm,neurodivers,1
neurodivers,higher,1
neurodivers,within,1
neurodivers,began,1
neurodivers,deepen,1
higher,educ,3
educ,specif,1
educ,note,1
educ,syharat,1
educ,journey,1
specif,ensur,1
specif,autist,1
ensur,margin,1
margin,group,1
group,receiv,1
receiv,support,1
support,truli,1
support,inclus,2
support,avail,1
support,build,1
support,student,1
truli,deserv,1
deserv,process,1
process,write,1
write,reflect,1
reflect,piec,1
reflect,world,1
piec,intensifi,1
piec,origin,1
intensifi,enthusiasm,1
enthusiasm,subject,1
subject,area,1
area,also,1
also,significantli,1
also,note,1
also,illumin,1
significantli,influenc,1
influenc,previou,1
previou,summer,1
summer,research,1
research,project,1
research,highlight,1
project,delv,1
world,dyslex,1
world,around,1
dyslex,student,1
abil,code,1
code,univers,1
set,passion,1
propel,dedic,1
dedic,final,1
final,year,1
year,dissert,1
year,time,1
dissert,explor,1
explor,neurodivers,1
explor,neurodiverg,1
explor,present,1
within,uofg,1
within,tile,1
keen,uncov,1
uncov,extent,1
extent,individu,1
individu,feel,1
feel,right,1
feel,pressur,1
right,amount,1
amount,support,1
inclus,studi,1
inclus,higher,1
inclus,environ,1
studi,absolut,1
studi,2,1
absolut,delight,1
delight,share,1
share,experi,1
share,similar,1
experi,passion,1
experi,challeng,1
experi,result,1
experi,fluid,1
voic,within,1
tile,network,2
network,opportun,1
network,websit,1
opportun,allow,1
allow,contribut,1
contribut,activ,1
activ,ongo,1
ongo,dialogu,1
dialogu,surround,1
surround,import,1
import,support,1
import,attend,1
note,piec,1
note,may,1
origin,publish,1
origin,sourc,1
publish,tile,1
websit,link,1
link,origin,1
sourc,first,1
first,encount,1
encount,concept,1
encount,educ,1
concept,neurodivers,1
began,understand,1
understand,meant,1
understand,neurodivers,1
meant,neurodiverg,1
neurodiverg,embark,1
neurodiverg,student,2
neurodiverg,graduat,1
neurodiverg,popul,1
embark,univers,1
journey,point,1
journey,anoth,1
point,awar,1
awar,mild,1
mild,dyscalculia,1
dyscalculia,diagnosi,1
diagnosi,emerg,1
emerg,high,1
high,school,1
school,year,1
time,grappl,1
grappl,self-consci,1
self-consci,sens,1
sens,disorient,1
sens,belong,1
disorient,anxieti,1
anxieti,particularli,1
particularli,start,1
start,engag,1
engag,critic,1
critic,reflect,1
around,enter,1
enter,univers,1
rememb,wonder,1
wonder,“,1
“,manag,1
“,support,1
“,other,1
manag,new,1
new,chapter,1
chapter,diagnos,1
diagnos,”,1
”,“,2
”,understand,1
avail,someon,1
someon,like,1
like,”,1
other,share,1
similar,experi,1
challeng,”,1
deepen,becam,1
becam,interest,1
interest,explor,1
syharat,et,1
et,al,1
al,1,1
1,investig,1
investig,neurodiverg,2
graduat,stem,1
graduat,student,1
stem,student,1
result,suggest,1
suggest,often,1
suggest,experi,1
often,feel,1
pressur,conform,1
conform,neurotyp,1
neurotyp,norm,1
norm,avoid,1
avoid,neg,1
neg,percept,1
percept,furthermor,1
furthermor,particip,1
particip,also,1
may,self-sil,1
may,affect,1
self-sil,maintain,1
maintain,stabil,1
stabil,posit,1
posit,relationship,1
relationship,advisor,1
advisor,research,1
highlight,import,1
attend,inclus,1
environ,moreov,1
moreov,also,1
illumin,hurdl,1
hurdl,neurodiverg,1
anoth,studi,1
2,investig,1
popul,specif,1
autist,student,1
undergradu,graduat,1
find,suggest,1
fluid,multi-dimension,1
multi-dimension,multipl,1
multipl,factor,1
factor,may,1
affect,student,1
’,sens,1
belong,transit,1
transit,period,1
period,support,1
build,upon,1
upon,insight,1
insight,crucial,1
crucial,explor,1
present,initi,1
initi,design,1
design,support,1
