Source,Target,Weight
lot,way,1
way,make,1
make,differ,1
make,sure,2
make,uncomfort,1
make,comment,1
differ,fight,1
fight,social,1
social,racial,1
racial,justic,1
justic,parent,1
parent,one,1
parent,black,1
one,biggest,1
one,reach,1
one,”,1
one,“,1
biggest,thing,1
thing,work,1
work,—,1
work,servic,1
work,get,1
—,make,1
—,specif,1
—,exclus,1
—,base,1
—,along,1
sure,’,1
sure,discuss,1
sure,make,1
’,talk,1
’,divers,1
’,also,1
’,bs,1
’,expect,1
talk,kid,1
talk,confer,1
kid,help,1
help,—,1
help,children,1
specif,address,1
specif,race,1
address,unconsci,1
address,issu,1
unconsci,bia,2
unconsci,bias,1
bia,—,1
bia,synaps,2
bia,introspect,1
bia,break,1
exclus,q,1
q,intern,1
intern,award-win,1
award-win,divers,1
divers,inclus,1
divers,problem,1
divers,—,1
divers,characterist,1
divers,convers,1
inclus,speaker,1
inclus,cultur,1
speaker,expert,1
speaker,consult,1
expert,risha,1
risha,grant,3
risha,say,2
grant,risha,1
grant,llc,1
grant,becom,1
say,’,1
say,“,1
problem,peopl,1
problem,“,1
peopl,problem,1
peopl,color,1
peopl,men,1
peopl,tattoo,1
peopl,wear,1
peopl,preconceiv,1
“,dismantl,1
“,everybodi,1
“,reddest,1
dismantl,system,1
system,address,1
issu,micro,1
issu,major,1
issu,relat,1
micro,level,1
level,”,1
”,risha,1
”,especi,1
”,state,1
everybodi,center,1
center,influenc,1
influenc,someon,1
someon,one,1
someon,cup,1
reach,one,1
especi,parent,1
especi,issu,1
black,femal,1
black,folk,1
femal,queer,1
queer,grow,1
grow,small,1
small,busi,1
busi,risha,1
llc,tackl,1
tackl,econom,1
econom,issu,1
major,talk,1
major,compani,1
confer,everi,1
everi,area,1
area,life,1
life,intersect,1
intersect,divers,1
base,tulsa,1
tulsa,okla.,1
okla.,one,1
reddest,”,1
state,nation,1
nation,addit,1
addit,edgi,1
edgi,educ,1
educ,motiv,1
educ,divers,1
motiv,speaker,1
consult,major,1
compani,’,1
also,author,1
also,sure,1
author,’,1
bs,bia,1
bs,aka,1
synaps,disrupt,1
synaps,import,1
disrupt,inclus,1
cultur,learn,1
learn,work,1
learn,behavior,1
servic,read,1
read,becom,1
becom,awar,2
awar,unconsci,2
bias,help,1
bias,invit,1
children,—,1
children,watch,1
along,bs,1
aka,bia,1
import,info,1
info,risha,1
introspect,self-awar,1
self-awar,take,1
take,work,1
get,uncomfort,1
get,know,1
uncomfort,around,1
uncomfort,understand,1
uncomfort,behavior,1
around,black,1
folk,peopl,1
color,lgbt+,1
lgbt+,peopl,1
men,peopl,1
tattoo,dy,1
dy,hair,1
hair,pierc,1
pierc,peopl,1
wear,turban,1
turban,hijab,1
hijab,begin,1
begin,think,1
begin,see,1
think,make,1
think,someth,1
understand,deep,1
deep,dive,1
dive,ask,1
ask,question,1
question,uncomfort,1
behavior,origin,1
behavior,listen,1
origin,children,1
watch,learn,1
watch,languag,1
listen,even,1
even,think,1
someth,els,1
someth,happen,1
els,watch,1
languag,action,1
action,upset,1
upset,especi,1
upset,confront,1
relat,race,1
race,divers,1
race,sexual,1
characterist,person,1
person,someth,1
person,entir,1
happen,offens,1
offens,make,1
discuss,term,1
term,person,1
entir,group,1
group,belong,1
belong,also,1
comment,specif,1
sexual,orient,1
orient,gender,1
gender,etc,1
etc,upset,1
confront,bia,1
break,barrier,1
barrier,creat,1
creat,build,1
build,authent,1
authent,relationship,1
relationship,bias,1
invit,someon,1
cup,coffe,1
coffe,get,1
know,’,1
expect,educ,1
convers,begin,1
see,peopl,1
preconceiv,notion,1
notion,head,1
