Source,Target,Weight
cover,imag,1
imag,dharmendra,1
dharmendra,rai,1
rai,pixabay,1
pixabay,althea,1
althea,need,1
need,kaminsk,1
kaminsk,talk,1
talk,benefit,2
benefit,retriev,2
retriev,practic,5
retriev,already-learn,1
retriev,potenti,2
retriev,facilit,1
retriev,improv,1
retriev,benefici,1
retriev,act,1
practic,lot,1
practic,alreadi,1
practic,also,1
practic,help,1
practic,may,1
lot,learn,1
learn,scientist,1
learn,inform,1
learn,new,3
learn,retriev,1
learn,well,1
learn,review,1
learn,chan,1
learn,resourc,1
learn,free,1
learn,materi,1
learn,task,1
learn,2,1
scientist,usual,1
usual,talk,1
alreadi,learn,2
inform,howev,1
inform,retriev,1
inform,might,1
inform,one,1
howev,retriev,1
also,shown,1
also,help,1
also,consist,1
shown,benefici,1
benefici,learn,1
benefici,new,1
new,inform,2
new,materi,1
new,learn,3
already-learn,materi,1
materi,help,1
materi,1,1
materi,2,1
materi,focu,1
materi,pretend,1
help,rememb,1
help,learn,1
help,learner,1
rememb,materi,1
rememb,two,1
rememb,second,1
1,also,1
2,effect,1
2,less,1
effect,call,1
effect,test,1
call,forward,1
forward,test,1
test,effect,1
test,potenti,1
test,first,1
test,video,1
test,intermitt,1
test,4,1
test,inform,1
potenti,learn,3
well,establish,1
establish,2,1
less,well-understood,1
well-understood,retriev,1
facilit,new,1
review,studi,1
studi,retriev,1
studi,particip,1
chan,meissner,1
chan,et,1
meissner,davi,1
davi,2018,1
2018,four,1
2018,consist,1
four,theoret,1
theoret,perspect,1
perspect,retriev,1
improv,new,1
resourc,theori,2
resourc,retriev,1
theori,metacognit,1
theori,context,1
theori,integr,1
theori,resourc,1
theori,state,1
theori,rememb,1
theori,szpunar,1
theori,categori,1
metacognit,theori,1
context,theori,1
integr,theori,1
state,retriev,1
free,cognit,1
cognit,resourc,1
act,way,1
way,set,1
way,approach,1
way,may,1
set,asid,1
set,theori,1
asid,alreadi,1
focu,to-be-learn,1
to-be-learn,materi,1
pretend,ask,1
ask,rememb,1
two,list,1
list,word,2
list,’,1
list,chan,1
word,accord,1
word,test,1
accord,theori,1
second,list,1
first,list,2
’,still,1
still,think,1
think,first,1
think,difficult,1
et,al,1
al,2018,1
consist,literatur,1
consist,set,1
literatur,express,1
express,write,2
write,peopl,1
write,hand,1
write,math,1
peopl,fewer,1
fewer,intrus,1
intrus,thought,1
thought,learn,1
task,abl,1
abl,write,1
hand,see,1
see,post,1
post,cindi,1
cindi,express,1
math,anxieti,1
anxieti,research,1
research,mind-wand,1
mind-wand,also,1
szpunar,colleagu,1
colleagu,found,1
found,test,1
video,lectur,1
lectur,reduc,1
lectur,3,1
reduc,chang,1
chang,mind,1
chang,way,1
chang,much,1
mind,wander,2
wander,subsequ,1
wander,particip,1
subsequ,lectur,1
3,4,1
4,interestingli,1
4,theori,1
interestingli,one,1
one,studi,1
one,way,1
particip,test,2
intermitt,report,1
report,lecture-relev,1
lecture-relev,mind,1
categori,theoriz,1
theoriz,retriev,1
learner,optim,1
learner,spend,1
optim,encod,1
encod,strategi,1
strategi,take,1
take,test,1
might,chang,1
approach,learn,1
may,happen,1
may,chang,1
happen,retriev,1
much,time,1
time,effort,1
effort,learner,1
spend,item,1
item,think,1
difficult,import,1
import,learn,1
