Source,Target,Weight
althea,need,1
need,kaminsk,1
need,learn,2
need,achiev,1
need,format,1
need,condens,1
need,done,1
kaminsk,cover,1
cover,imag,1
cover,five,1
cover,flashcard,1
imag,pexel,1
pexel,pixabay,1
pixabay,one,1
one,common,1
one,area,1
common,metaphor,1
common,question,1
metaphor,describ,1
describ,first,1
first,year,1
first,note,1
year,medic,1
medic,school,2
medic,student,1
school,like,1
school,need,1
like,like,1
like,drink,1
like,faster,1
drink,water,1
water,fire,1
fire,hose,3
hose,overwhelm,1
hose,”,1
hose,inform,1
overwhelm,amount,1
amount,inform,2
inform,student,1
inform,way,1
inform,someth,1
inform,build,1
student,need,1
student,improv,1
learn,need,1
learn,fast,1
learn,format,1
learn,goal,1
learn,help,1
learn,live,1
fast,one,1
area,help,1
help,medic,1
help,manag,1
help,memori,1
help,track,1
improv,notetak,1
improv,understand,1
notetak,help,1
notetak,probabl,1
notetak,context,1
notetak,provid,1
manag,“,1
manag,third,1
“,fire,1
”,inform,1
way,defin,1
way,build,1
defin,notetak,1
probabl,littl,1
littl,differ,1
differ,peopl,1
differ,note,1
peopl,think,1
think,notetak,1
think,note,1
context,think,1
note,record,1
note,could,1
note,good,1
note,exampl,1
note,hand,2
note,see,1
note,taken,1
note,howev,1
note,like,1
note,need,1
note,note,1
note,format,2
record,learn,2
record,continu,1
record,monitor,1
format,improv,1
format,’,1
format,aid,1
format,space,1
format,meet,1
understand,long-term,1
understand,physic,1
understand,materi,1
understand,good,1
understand,record,1
understand,book,1
long-term,retent,1
retent,materi,1
retent,i.e,1
materi,ideal,1
materi,final,1
ideal,record,1
continu,updat,1
updat,live,1
live,document,2
document,progress,1
document,reflect,1
progress,toward,1
toward,learn,1
goal,mean,1
goal,note,1
goal,notetak,1
goal,effect,1
goal,first,1
goal,cover,1
mean,note,1
could,includ,1
includ,handwritten,1
handwritten,flashcard,1
flashcard,type,1
flashcard,diagram,1
type,chart,1
type,devic,1
type,note,2
chart,tabl,2
tabl,annot,1
tabl,combin,1
annot,diagram,1
diagram,sketch,1
diagram,flowchart,1
sketch,flowchart,1
flowchart,mind,1
flowchart,chart,1
mind,map,1
map,etc,1
etc,make,1
make,note,2
good,effect,1
good,note,1
effect,depend,1
effect,note-tak,1
depend,goal,1
exampl,common,1
question,whether,1
whether,matter,1
matter,take,1
matter,much,1
take,note,2
hand,type,1
hand,tend,1
hand,forc,1
hand,know,1
devic,gener,1
gener,would,1
would,argu,1
argu,format,1
’,matter,1
’,harder,1
’,select,1
’,help,1
’,easi,1
much,cognit,1
cognit,process,1
process,engag,1
engag,make,1
see,post,1
post,megan,1
megan,explain,1
explain,note,1
taken,hand,1
tend,better,1
better,’,1
harder,take,1
forc,select,1
select,write,1
select,paraphras,1
write,paraphras,1
paraphras,thing,1
paraphras,’,1
thing,word,1
word,1,1
1,’,1
memori,understand,1
physic,movement,1
movement,hand,1
know,’,1
easi,appli,1
appli,principl,1
principl,type,1
howev,goal,1
provid,sort,1
sort,transcript,1
transcript,event,1
event,ye,1
ye,type,1
faster,easier,1
easier,goal,1
note-tak,medic,1
achiev,sever,1
sever,goal,1
aid,subsequ,1
subsequ,retent,1
i.e,space,1
space,retriev,2
retriev,practic,2
practic,second,1
practic,condens,1
second,need,1
condens,fire,1
condens,larg,1
someth,manag,1
third,need,1
done,way,1
build,understand,2
final,record,1
track,monitor,1
monitor,learn,1
monitor,understand,1
reflect,current,1
current,understand,1
larg,amount,1
book,studi,1
studi,without,1
without,stress,1
stress,eugenia,1
eugenia,g.,1
g.,kelman,1
kelman,kathleen,1
kathleen,straker,1
straker,2,1
2,author,1
author,cover,1
five,differ,1
meet,goal,1
