Source,Target,Weight
smitten,kitchen,1
kitchen,husband,1
husband,like,1
like,joke,1
like,even,1
joke,everi,1
everi,comment,1
everi,five,2
comment,site,1
comment,mostli,1
site,month,1
month,octob,1
month,’,1
octob,“,1
octob,belli,1
“,help,1
help,went,1
help,releg,1
went,appl,2
went,largest,1
appl,pick,2
appl,’,1
appl,grove,1
appl,imposs,1
appl,type,1
appl,appl,1
appl,ad,1
appl,kid,1
appl,left,1
appl,tart,2
pick,brought,1
pick,last,1
brought,home,2
home,20,1
home,might,1
home,almost,1
20,pound,2
pound,appl,4
pound,went,1
pound,munch,1
pound,tabl,1
’,know,2
’,true,1
’,everi,1
’,like,1
’,go,1
’,alreadi,1
’,expect,1
know,use,1
know,one,1
know,go,1
use,”,1
”,’,1
true,cours,1
cours,’,1
cours,still,1
five,six,1
five,year,1
six,comment,1
mostli,giggl,1
mostli,idea,1
giggl,’,1
one,could,1
one,appl,1
could,go,1
go,appl,1
go,guy,1
go,glad,1
grove,realiz,1
realiz,20,1
imposs,amount,1
amount,munch,1
munch,way,1
munch,happili,1
way,matter,1
matter,enthusiast,1
enthusiast,apple-eat,1
apple-eat,might,1
might,furthermor,1
might,sustain,1
furthermor,see,1
see,quit,1
quit,often,1
often,one,1
type,ripe,1
ripe,time,1
time,’,1
even,bring,1
bring,mix,1
mix,home,1
sustain,interest,1
interest,appl,1
ad,inifinitum,1
inifinitum,know,1
guy,went,1
last,weekend,1
weekend,brought,1
almost,15,1
15,pound,1
kid,mostli,1
idea,first,1
first,6,1
first,bite,1
6,pound,1
largest,batch,1
batch,applesauc,1
applesauc,ever,1
applesauc,junki,1
ever,half,1
half,freezer,1
freezer,resid,1
resid,applesauc,1
junki,next,1
next,pound,1
next,well,1
happili,pound,1
tabl,bowl,1
bowl,though,1
though,think,1
think,ramona,1
think,’,1
think,new,1
think,one,1
ramona,quimbi,1
quimbi,must,1
must,snuck,1
snuck,keep,1
keep,notic,1
notic,singl,1
singl,tini,1
tini,bite,1
bite,taken,1
bite,tastiest,1
taken,first,1
tastiest,next,1
well,happen,1
well,think,1
happen,happen,1
happen,think,1
glad,bunch,1
bunch,pound,1
left,kind,1
kind,stuff,1
stuff,call,1
call,repeat,1
repeat,perform,1
perform,take,1
take,submiss,1
submiss,new,1
new,favorit,1
new,simpl,1
favorit,dead,1
dead,simpl,1
simpl,fall,1
simpl,appl,1
fall,dessert,1
dessert,understand,1
understand,competit,1
competit,arena,1
arena,pretti,1
pretti,fierc,1
fierc,’,1
alreadi,share,1
share,pumpkin,1
pumpkin,cinnamon,1
cinnamon,roll,1
roll,month,1
expect,throw,1
throw,quickli,1
quickli,win,1
win,octob,1
belli,mind,1
mind,race,1
race,help,1
releg,breakfast,1
breakfast,categori,1
categori,cours,1
still,leav,1
leav,simplest,1
simplest,appl,1
tart,everi,1
tart,town,1
year,well,1
town,think,1
