Source,Target,Weight
take,quick,1
take,much,1
quick,look,1
look,around,1
look,mean,1
around,home,2
around,well,1
home,relax,1
home,day,1
home,posit,2
home,environ,3
home,space,1
home,reduc,1
home,live,2
home,home,1
home,offic,1
home,’,1
relax,recharg,2
relax,properti,1
recharg,happi,1
recharg,peac,1
happi,space,1
space,make,1
space,laura,1
space,care,1
space,clear,1
space,tri,1
space,feel,1
space,hide,1
space,—,1
make,feel,2
make,home,2
make,posit,1
make,space,1
make,use,1
feel,’,1
feel,cramp,1
feel,better,1
feel,calmer,1
feel,restrict,1
’,still,1
’,got,1
’,alway,1
’,experienc,1
’,laundri,1
’,deal,1
’,find,1
’,like,1
still,groan,1
still,feel,1
groan,know,1
know,spend,1
spend,lot,1
spend,time,1
lot,time,1
lot,relax,1
time,home,1
time,clear,1
day,’,1
got,great,1
great,way,1
way,make,2
posit,space,2
posit,place,1
posit,home,1
posit,nature-fil,1
laura,may,1
may,digit,1
digit,editor,1
editor,anoth,1
anoth,magazin,1
magazin,home,1
environ,sanctuari,1
environ,feel,1
environ,without,1
environ,need,1
sanctuari,relax,1
peac,’,1
alway,case,1
case,mani,1
mani,home,1
mani,plant,1
mani,other,1
mani,interior,1
cramp,creat,1
creat,neg,1
creat,posit,2
creat,indoor,1
neg,atmospher,1
atmospher,induc,1
induc,symptom,1
symptom,stress,1
stress,worri,2
stress,make,1
worri,though,1
worri,difficult,1
though,articl,1
articl,explor,1
articl,forb,1
articl,furniturebox,1
explor,follow,1
explor,tip,1
follow,four,1
four,way,1
place,live,1
live,read,1
live,particularli,1
live,stress-fre,1
live,room,1
live,work,1
read,explor,1
tip,help,1
help,creat,1
care,plant,1
plant,flower,1
plant,improv,1
plant,speci,1
plant,aesthet,1
flower,lot,1
properti,—,1
—,dabbl,1
—,mantra,1
—,bookcas,1
dabbl,idea,1
idea,creat,1
indoor,garden,1
indoor,plant,1
garden,bring,1
garden,experi,1
bring,outdoor,1
outdoor,insid,1
insid,chanc,1
chanc,get,1
get,creativ,1
creativ,one,1
one,natur,1
natur,accord,1
natur,purifi,1
accord,articl,1
forb,greeneri,1
greeneri,home,1
reduc,stress,1
better,indoor,1
improv,concentr,1
improv,overal,1
concentr,natur,1
purifi,air,1
air,around,1
well,improv,1
well,adapt,1
overal,mood,1
mood,best,1
best,mani,1
speci,requir,1
speci,clear,1
requir,littl,1
littl,fuss,1
fuss,look,1
mean,’,1
mean,creat,1
experienc,garden,1
experi,benefit,1
benefit,simplic,1
benefit,person,1
simplic,firmli,1
firmli,mind,1
mind,popular,1
mind,—,1
mind,pay,1
popular,wide,1
wide,recommend,1
recommend,hous,1
recommend,make,1
hous,plant,1
aesthet,pleas,1
pleas,variou,1
variou,option,1
option,well,1
adapt,home,1
particularli,resili,1
resili,mean,1
nature-fil,environ,1
without,stress,1
without,take,1
difficult,speci,1
clear,space,1
clear,mind,1
clear,clutter,2
mantra,pair,1
pair,clean,1
clean,home,1
stress-fre,life,1
life,sometim,1
sometim,declutt,1
declutt,home,1
need,make,1
tri,work,1
work,surround,1
work,home,1
surround,mess,1
mess,tuck,1
mess,might,1
mess,instead,1
tuck,good,1
good,book,1
book,amongst,1
amongst,yesterday,1
yesterday,’,1
laundri,enough,1
enough,distract,1
distract,anybodi,1
anybodi,organ,1
organ,mess,1
might,benefit,1
person,unwieldi,1
unwieldi,clutter,1
clutter,claustrophob,1
clutter,around,1
clutter,still,1
claustrophob,overwhelm,1
overwhelm,mani,1
other,spend,1
offic,includ,1
includ,make,1
calmer,purpos,1
purpos,mind,1
pay,clever,1
clever,storag,1
storag,especi,1
especi,’,1
deal,confin,1
confin,area,1
area,like,1
area,clear,1
like,long,1
like,grown,1
long,narrow,1
narrow,live,1
room,given,1
given,less,1
less,space,1
hide,mess,1
instead,sweep,1
sweep,carpet,1
carpet,howev,1
howev,’,1
find,mani,1
interior,decor,1
decor,expert,1
expert,articl,1
furniturebox,instanc,1
instanc,recommend,1
use,vertic,1
vertic,space,1
bookcas,shelv,1
shelv,cabinet,1
cabinet,store,1
store,display,1
display,anyth,1
anyth,want,1
want,without,1
much,surfac,1
surfac,area,1
restrict,month,1
month,lockdown,1
lockdown,live,1
grown,tire,1
tire,old,1
old,sceneri,1
