Source,Target,Weight
everi,fall,1
fall,get,1
fall,vibe,1
fall,favorit,1
get,urg,1
urg,bing,1
bing,watch,1
watch,harri,1
harri,potter,2
potter,movi,1
potter,theme,1
movi,anyon,1
movi,see,1
anyon,els,1
els,’,1
’,lot,1
’,basic,1
’,realli,1
’,mug,1
’,given,1
’,cheer,1
’,10,1
lot,fall,1
vibe,movi,1
see,’,1
basic,septemb,1
septemb,exactli,1
exactli,cookbook,1
cookbook,caught,1
cookbook,kid,2
caught,attent,2
attent,hp,1
attent,butterscotch,1
hp,fan,1
fan,unit,1
unit,fifti,1
fifti,magic,1
magic,simpl,1
simpl,spellbind,1
simpl,fun,1
spellbind,recip,1
recip,young,1
recip,rang,1
recip,caught,1
recip,grab,1
recip,famili,1
recip,definit,1
recip,thank,1
young,witch,1
witch,wizard,1
witch,hat,1
wizard,ye,1
wizard,bar,1
wizard,witch,1
ye,pleas,1
pleas,breakfast,1
breakfast,dessert,1
dessert,snack,1
snack,main,1
main,dish,1
dish,unoffici,1
unoffici,hogwart,2
hogwart,cookbook,2
kid,fun,1
kid,chef,1
kid,—,1
kid,alana,1
fun,educ,1
fun,recip,1
fun,want,1
educ,kiddo,1
kiddo,learn,1
learn,new,1
new,cook,1
new,fave,1
new,york,1
cook,term,1
term,kitchen,1
kitchen,skill,1
skill,recip,1
rang,complex,1
complex,kid,1
chef,potion,1
potion,master,1
master,aka,1
aka,parent,1
parent,whip,1
whip,someth,1
someth,amaz,1
someth,one,1
amaz,one,1
one,simpl,1
one,new,1
one,link,1
butterscotch,“,3
“,beer,3
beer,”,3
beer,instead,1
”,—,1
”,recip,2
—,kid,1
—,’,1
realli,beer,1
instead,’,1
mug,full,1
mug,let,1
full,butterscotch-i,1
butterscotch-i,good,1
good,sip,1
sip,pretend,1
pretend,three,1
three,broomstick,1
broomstick,inn,1
inn,imaginari,1
imaginari,wizard,1
bar,fanci,1
fanci,photo,1
photo,courtesi,1
courtesi,ulyss,1
ulyss,press,4
press,look,1
press,allow,1
press,reprint,1
press,new,1
look,delici,1
delici,right,1
right,frothi,1
right,reserv,1
frothi,fun,1
want,tri,1
tri,thank,1
tri,let,1
thank,’,1
thank,alana,1
thank,support,1
thank,perfect,1
thank,much,1
given,permiss,1
permiss,publish,1
permiss,ulyss,1
publish,share,1
share,tasti,1
share,butterscotch,1
tasti,butterscotch,1
grab,best,1
best,wizard,1
hat,robe,1
robe,larg,1
larg,mug,1
let,’,1
let,us,1
cheer,butterb,1
butterb,huge,1
huge,thank,1
alana,al-hatlani,2
al-hatlani,ulyss,1
al-hatlani,copyright,1
allow,us,1
us,share,1
us,know,1
famili,fall,1
favorit,recip,1
definit,gon,1
gon,na,1
na,one,1
fave,—jenn,1
—jenn,excerpt,1
excerpt,unoffici,1
copyright,©,1
©,2021,1
2021,ulyss,1
reprint,permiss,1
york,ny,1
ny,right,1
reserv,ftc,1
ftc,disclosur,1
disclosur,often,1
often,receiv,1
receiv,product,1
receiv,compens,1
receiv,small,1
product,compani,1
compani,review,1
review,thought,1
review,content,1
thought,opinion,1
opinion,alway,1
alway,entir,1
entir,unless,1
unless,otherwis,1
otherwis,state,1
state,receiv,1
compens,review,1
content,pure,1
pure,editori,1
editori,affili,1
affili,link,1
link,may,2
may,includ,1
may,receiv,1
includ,purchas,1
purchas,someth,1
small,commiss,1
commiss,thank,1
support,oh,1
oh,love,1
love,idea,1
love,serv,1
idea,would,1
idea,brown,1
would,love,1
would,give,1
serv,daughter,1
daughter,’,1
daughter,🙂,1
10,birthday,1
birthday,next,1
birthday,daughter,1
next,week,1
week,harri,1
theme,wonder,1
wonder,coincid,1
coincid,found,1
found,recip,1
perfect,happi,1
happi,birthday,1
🙂,–jenn,2
–jenn,thank,1
much,jenn,1
jenn,idea,1
brown,sugar,1
sugar,replac,1
replac,altern,1
altern,like,1
like,honey,1
honey,guess,1
guess,would,1
give,sweet,1
give,tri,1
sweet,chang,1
sweet,give,1
chang,flavor,1
flavor,rich,1
rich,sweet,1
know,🙂,1
