Source,Target,Weight
’,doubt,1
’,start,1
’,almost,1
’,afraid,1
’,read,1
’,book,1
’,girl,1
’,incred,1
’,hard,1
’,difficult,1
doubt,last,1
last,year,1
year,half,1
half,stress,1
stress,us,1
stress,cours,1
stress,time,1
us,reason,1
us,want,1
us,find,1
us,relax,2
us,birthright,1
us,“,1
reason,seem,1
seem,though,1
seem,mani,1
though,’,1
though,default,1
start,settl,1
settl,back,1
back,semblanc,1
semblanc,normal,1
normal,whatev,1
whatev,mean,1
mean,big,1
big,stressor,1
stressor,emot,1
emot,well,1
emot,system,1
well,still,1
still,much,1
much,present,1
much,’,1
present,lot,1
present,festiv,1
lot,way,1
way,fear,1
way,heal,1
fear,anxieti,1
anxieti,almost,1
almost,hard,1
almost,though,1
hard,let,1
hard,us,1
let,go,4
go,live,1
go,relax,1
go,site,1
go,”,2
live,long,1
long,lock,1
lock,world,1
world,none,1
none,us,1
want,stress,1
cours,seem,1
mani,us,2
find,let,1
find,eas,1
relax,realli,1
relax,awaken,2
relax,factor,1
relax,way,1
relax,’,1
realli,realli,1
realli,challeng,1
challeng,’,1
default,emot,1
system,bodi,1
bodi,set,1
set,high,1
high,alert,1
alert,’,1
afraid,lower,1
lower,feel-good,1
feel-good,level,1
level,much,1
read,thrill,1
read,excerpt,1
thrill,share,1
share,excerpt,1
share,’,1
share,deep,1
excerpt,trace,1
excerpt,book,1
trace,stanley,1
trace,note,1
trace,travel,1
trace,guid,1
trace,share,1
stanley,’,1
book,radiant,2
book,trace,2
radiant,rest,3
rest,yoga,1
rest,must-read,1
rest,spiritu,1
rest,one,1
yoga,nidra,4
yoga,journal,1
yoga,teacher,1
nidra,deep,1
nidra,medit,1
nidra,school,1
nidra,depth,1
deep,relax,3
deep,rest,1
awaken,clariti,1
awaken,power,1
awaken,’,1
clariti,trace,1
note,lineag,1
lineag,teacher,1
teacher,yoga,1
teacher,train,1
teacher,often,1
medit,self-inquiri,1
medit,pranamaya,1
self-inquiri,practic,1
self-inquiri,oracl,1
practic,inspir,1
practic,tip,1
practic,share,1
inspir,tradit,1
tradit,himalayan,1
himalayan,master,1
master,sri,1
sri,vidya,1
vidya,tantra,1
tantra,initi,1
initi,2001,1
2001,co-found,1
co-found,empow,1
empow,wisdom,1
empow,life,1
wisdom,yoga,1
school,creat,1
creat,empow,1
creat,type,1
life,self-inquiri,1
life,experi,1
life,stress,1
oracl,deck,1
deck,trace,1
travel,intern,1
intern,lead,1
lead,retreat,1
retreat,teacher,1
train,present,1
festiv,confer,1
confer,includ,1
includ,oprah,1
oprah,gayl,1
gayl,’,1
girl,get,1
get,away,1
get,radiant,1
away,onlin,1
onlin,class,1
class,avail,1
class,full,1
avail,commun,1
commun,yoga,1
journal,unplug,1
unplug,medit,1
pranamaya,wanderlust,1
wanderlust,tv,1
tv,inform,1
inform,go,1
site,credit,1
credit,anastasia,1
anastasia,chomlack,1
chomlack,new,1
new,book,1
must-read,interest,1
interest,self-develop,1
self-develop,inquiri,1
inquiri,book,1
guid,reader,1
reader,beyond,1
beyond,techniqu,1
techniqu,yoga,1
depth,order,1
order,experi,1
experi,deep,1
experi,possibl,1
power,offer,1
offer,bedtim,1
bedtim,wake-up,1
wake-up,ritual,1
ritual,along,1
along,insight,1
insight,obstacl,1
obstacl,mani,1
factor,play,1
play,part,1
part,block,1
block,us,1
birthright,deep,1
spiritu,awaken,1
incred,read,1
heal,practic,1
tip,find,1
eas,—,1
—,best,1
—,final,1
best,—,1
final,get,1
one,first,1
first,thing,1
thing,becam,1
becam,awar,1
awar,began,1
began,practic,1
difficult,us,1
“,let,2
”,yoga,1
”,relax,1
often,give,1
give,instruct,1
instruct,without,1
without,slightest,1
slightest,consider,1
consider,receiv,1
receiv,class,1
full,peopl,1
peopl,vari,1
vari,life,1
possibl,trauma,1
trauma,least,1
least,life,1
time,creat,1
type,tension,1
tension,requir,1
requir,command,1
command,“,1
