Source,Target,Weight
smitten,kitchen,2
kitchen,sever,1
kitchen,cookbook,1
sever,stuffing-rel,1
stuffing-rel,confess,1
confess,unload,1
unload,today,1
today,first,1
first,stuf,1
stuf,love,1
stuf,pepperidg,1
stuf,includ,1
stuf,consumpt,1
stuf,free,1
stuf,everi,1
stuf,tast,1
stuf,realli,1
stuf,meal,1
stuf,flavor,1
stuf,huh,1
love,found,1
found,friend,1
friend,’,1
’,hous,1
’,1989,1
’,terribl,1
’,cave,1
’,stop,1
’,request,1
’,limit,1
’,take,1
’,awesom,1
’,four,1
’,time,1
hous,mother,1
mother,serv,1
mother,’,1
serv,us,1
us,appl,1
appl,stuf,1
appl,celeri,1
pepperidg,farm,1
farm,mix,1
mix,longer,1
longer,made,1
made,presum,1
presum,’,1
1989,god,1
god,nag,1
nag,mother,1
terribl,keen,1
keen,packag,1
packag,food,1
food,meani,1
meani,make,1
make,sometim,1
sometim,’,1
cave,though,1
though,never,1
never,often,1
often,enough,1
enough,’,1
stop,grow,1
stop,look,1
grow,think,1
think,dreamiest,1
think,’,1
dreamiest,stuf,1
includ,tart,1
tart,appl,1
celeri,lightli,1
lightli,caramel,1
caramel,onion,1
onion,herb,1
herb,dream,1
herb,savori,1
dream,repeatedli,1
repeatedli,deni,1
deni,child,1
child,ye,1
ye,’,1
request,tini,1
tini,violin,1
violin,think,1
limit,stuf,1
consumpt,singl,1
singl,day,1
day,novemb,1
day,year,1
day,thanksgiv,1
day,find,1
novemb,miss,1
miss,snip,1
snip,stuf,1
free,holiday-specif,1
holiday-specif,tether,1
tether,’,1
take,long,1
long,realiz,1
realiz,welcom,1
welcom,could,1
could,spear,1
could,get,1
spear,onto,1
onto,fork,1
fork,364,1
364,day,1
year,categori,1
year,yule,1
year,everyon,1
year,mayb,1
categori,share,1
share,latk,1
latk,awesom,1
awesom,cocktail,1
awesom,strung,1
cocktail,parti,1
parti,weekend,1
weekend,breakfast,1
breakfast,top,1
breakfast,meal,1
breakfast,stuf,2
breakfast,strata,1
top,lacy-edg,1
top,lunch,1
lacy-edg,fri,1
fri,egg,1
egg,especi,1
egg,top,1
especi,fit,1
fit,year,1
yule,log,1
log,thanksgiv,1
thanksgiv,mega-yodel,1
thanksgiv,lieu,1
mega-yodel,fairi,1
fairi,light,1
light,even,1
even,pretend,1
even,outlin,1
pretend,’,1
strung,across,1
across,yard,1
yard,juli,1
juli,even,1
outlin,shutter,1
shutter,fire,1
fire,escap,1
escap,decemb,1
decemb,would,1
would,eat,1
would,stop,1
eat,stuf,1
everi,week,1
everi,person,1
week,year,1
everyon,would,1
look,strang,1
strang,insist,1
insist,stuf,1
tast,amaz,1
amaz,breakfast,1
meal,loos,1
meal,smitten,1
loos,cook,1
cook,egg,1
lunch,asid,1
asid,salad,1
salad,instead,1
instead,roll,1
roll,dinner,1
dinner,day,1
lieu,grain,1
grain,potato,1
potato,went,1
went,extens,1
extens,length,1
length,develop,1
develop,recip,1
recip,call,1
call,breakfast,1
realli,stuf,1
realli,eggi,1
cookbook,someth,1
someth,herb,1
savori,realli,1
eggi,breakfast,1
strata,stud,1
stud,favorit,1
favorit,stuf,1
flavor,test,1
test,test,2
test,enjoy,1
enjoy,enjoy,2
enjoy,nobodi,1
nobodi,els,1
els,could,1
get,head,1
head,around,1
around,everi,1
person,mention,1
mention,said,1
said,“,1
“,yeah,1
yeah,breakfast,1
huh,”,1
”,oh-that-scribble-was-a-dinosaur,1
oh-that-scribble-was-a-dinosaur,voic,2
voic,know,1
voic,pull,1
know,oh-that-scribble-was-a-dinosaur,1
pull,live,1
live,comput,1
comput,sinc,1
sinc,hope,1
hope,one,1
one,day,1
find,home,1
home,’,1
four,year,1
mayb,’,1
