Source,Target,Weight
envelop,us,1
struck,terror,1
cooki,butterkuchen,1
bretzlen,soft,1
us,intens,1
bagel,lasagna,1
luisa,weiss,1
luisa,eloqu,1
sachertort,glaze,1
intens,long,1
sane,person,1
bolognes,bake,1
left,book,1
left,pro,1
allow,stop,1
saw,three-pag,1
mother,gone,1
mother,’,1
zero,voodoo,1
whether,activ,1
apfelstrudel,fright,1
strudel,—,1
cafe,sabarski,1
black-and-whit,cooki,1
peopl,make,1
dish,recip,1
dish,struck,1
dish,much,1
write,—,1
—,lace,1
—,dish,1
—,fill,1
—,envelop,1
—,massiv,1
—,damn,1
—,appl,1
leav,good,1
spread,apfelstrudel,1
run,kitchen,1
massiv,tabl,1
buri,flour,1
mile,christma,1
amerikan,origin,1
germani,although,1
flour,butter,1
flour,oil,1
oil,butter,1
morn,unsubtl,1
much,let,1
video,peopl,1
say,often,1
great,new,1
classic,german,1
best,left,1
damn,luisa,1
quietli,provid,1
eloqu,reassur,1
around,birthday,1
nobodi,allow,1
come,one,1
tabl,dough,1
make,appl,1
activ,lurk,1
tort,kid,1
three-pag,spread,1
doom,inevit,1
horn,amerikan,1
read,conclud,1
read,recip,1
open,morn,1
terror,heart,1
butterkuchen,linzertort,1
need,everi,1
kid,left,1
famili,hand,1
first,saw,1
impend,doom,1
circumst,huge,1
voodoo,and…,1
good,circumst,1
good,region,1
appl,strudel,1
appl,flour,1
like,bagel,1
dough,stretch,1
kitchen,’,1
kitchen,buri,1
failur,—,1
preview,page,1
long,run,1
clear,would,1
weiss,’,1
spot,bake,1
smitten,kitchen,1
littl,lucki,1
origin,black-and-whit,1
way,presenc,1
thing,site,1
absolut,zero,1
bake,alaska,1
bake,june,1
bake,good,1
bake,first,1
watch,video,1
honey,cake,1
christma,favorit,1
two,year,1
know,one,1
rewind,littl,1
lace,impend,1
york,citi,1
inevit,failur,1
unsubtl,hint,1
region,book,1
mandelhörnchen,almond,1
fright,took,1
presenc,whether,1
lucki,enough,1
would,imposs,1
would,best,1
raisin,absolut,1
german,bake,1
time,want,1
could,read,1
heart,—,1
sabarski,one,1
’,say,1
’,sure,1
’,new,1
’,parent,1
’,leav,1
’,watch,1
yeast,come,1
let,rewind,1
daunt,like,1
stop,newspap,1
pro,read,1
site,way,1
lunch,mother,1
fill,sachertort,1
russian,honey,1
took,hold,1
june,around,1
newspap,could,1
choos,bake,1
glaze,chocol,1
encourag,need,1
lasagna,bolognes,1
book,—,1
book,open,1
chocol,tort,1
page,luisa,1
enough,know,1
enough,preview,1
huge,soft,1
everi,time,1
reassur,write,1
provid,encourag,1
soft,spot,1
soft,pretzel,1
recip,daunt,1
recip,—,1
sure,dish,1
love,lunch,1
almond,horn,1
almond,yeast,1
cake,’,1
want,tackl,1
new,cookbook,1
new,york,1
person,would,1
often,enough,1
imposs,choos,1
tackl,dish,1
conclud,sane,1
linzertort,bretzlen,1
one,favorit,1
one,great,1
one,two,1
year,clear,1
stretch,film-thin,1
alaska,russian,1
hint,mandelhörnchen,1
citi,love,1
butter,almond,1
butter,breadcrumb,1
cookbook,classic,1
parent,germani,1
hold,’,1
film-thin,famili,1
lurk,quietli,1
gone,cafe,1
pretzel,mile,1
although,’,1
favorit,thing,1
favorit,—,1
hand,nobodi,1
breadcrumb,raisin,1
birthday,mother,1
