Source,Target,Weight
even,live,1
final,thing,1
store,extra,1
lightli,pickl,1
us,afford,1
minc,shallot,1
last,year,1
follow,basic,1
happen,final,1
spici,salti,1
alway,want,1
doubl,whole,1
deserv,fanci,1
made,recip,1
made,other,1
allow,us,1
find,lost,1
find,almost,1
work,sticki,1
trick,keep,1
trick,buri,1
toss,littl,1
other,regular,1
pickl,element,1
pickl,make,1
home,simpli,1
home,even,1
laci,chees,1
salti,nut,1
bit,powder,1
life,allow,1
cafe,menu,1
cook,said,1
math,equat,1
powder,sugar,1
—,tomorrow,1
buri,restaur,1
portion,dress,1
mile,said,1
crisp,easier,1
crisp,merg,1
crisp,cluster,1
low-effort,way,1
morn,bowl,1
much,work,1
best,’,1
best,trick,1
mani,snack,1
coolest,trick,1
famou,kale,1
actual,find,1
nut,find,1
nut,toss,1
nut,seed,1
stay,crisp,1
bowl,yogurt,1
make,kind,1
make,better,1
make,rest,1
make,happen,1
make,whole,1
lost,piec,1
rins,ye,1
rins,nut,1
candi,spici,1
ever,made,1
crunchi,dynam,1
need,—,1
ye,rins,1
first,element,1
found,coolest,1
merg,one,1
cheddar,salad,1
rest,salad,1
salad,would,1
salad,never,1
salad,home,1
salad,made,1
salad,math,1
salad,without,1
salad,low-effort,1
salad,kind,1
salad,morn,1
salad,rins,1
appl,cheddar,1
like,might,1
like,’,1
menu,home,1
kitchen,appl,1
gorgeou,salad,1
dress,lightli,1
sad,one,1
smitten,kitchen,1
innumer,time,1
onion,vinegar,1
spice,’,1
cluster,last,1
littl,bit,1
cayenn,bake,1
way,make,1
thing,like,1
thing,absolut,1
absolut,love,1
crouton,mile,1
kale,salad,1
salt,spice,1
bake,crisp,1
equat,crispi,1
extra,room,1
flake,golden,1
never,resist,1
almost,everi,2
easier,make,1
soak,minc,1
second,element,1
simpli,possibl,1
cool,crunchi,1
also,excus,1
fresh,chees,1
mega-clust,use,1
share,best,1
room,temperatur,1
would,humbl,1
basi,first,1
keep,sleev,1
time,almost,1
could,make,1
’,ever,1
’,salad,1
’,like,1
’,use,2
’,turn,1
melt,oven,1
humbl,argu,1
whole,pan,2
crispi,chees,1
excel,one,1
kind,complex,1
kind,candi,1
kind,nut,1
better,crouton,1
busi,salad,1
sticki,want,1
might,actual,1
element,follow,1
element,stem,1
element,sad,1
shallot,onion,1
basic,salad,1
popcorn,make,1
seed,’,1
everi,recip,1
everi,kind,1
snack,mani,1
snack,found,1
recip,also,1
recip,much,1
recip,famou,1
fanci,cool,1
fanci,salad,1
love,busi,1
complex,salad,1
sugar,salt,1
pan,doubl,1
pan,store,1
want,cook,1
want,one,1
grate,chees,1
piec,popcorn,1
vinegar,portion,1
argu,excel,1
stem,belief,1
resist,cafe,1
excus,share,1
one,best,1
one,soak,1
one,could,1
one,mega-clust,1
year,’,1
afford,fanci,1
without,pickl,1
said,thing,1
said,said,1
said,second,1
belief,salad,1
chees,fresh,1
chees,grate,1
chees,melt,1
chees,crisp,1
live,life,1
use,need,1
use,cayenn,1
use,innumer,1
golden,laci,1
temperatur,stay,1
possibl,deserv,1
restaur,recip,1
yogurt,snack,1
tomorrow,’,1
oven,flake,1
sleev,alway,1
dynam,gorgeou,1
regular,basi,1
