Source,Target,Weight
even,breakfast-i,1
call,breakfast,1
creat,morn,1
creat,1978,1
us,arefi,1
miss,one,1
hard-boil,egg,1
last,month,1
remain,plush,1
sunris,year,1
nantucket,recip,1
idea,’,1
idea,snack,1
alway,woken,1
biggest,surpris,1
muffin,work,1
muffin,archiv,1
muffin,love,1
muffin,liner,1
muffin,offici,1
mckinstri,creat,1
made,version,1
fruit,chees,1
fruit,sometim,1
fruit,well,1
work,way,1
toast,salt,1
doorstep,yossi,1
get,head,1
beg,ask,1
round,new,1
refer,wire,1
gave,wake,1
fridg,hard-boil,1
earli,’,1
earli,read,1
yet,get,1
sens,although,1
gourmet,1981,1
crack,dawn,1
bit,swap,1
star,chart,1
wheat,flour,1
hardli,biggest,1
white,ad,1
wildli,popular,1
eventu,might,1
peopl,like,1
dri,fruit,2
—,lectur,1
—,eventu,1
—,think,1
—,lower,1
leav,fridg,1
achiev,perfect,1
oil,bit,1
flour,raw,1
taken,part,1
taken,pack,1
yossi,arefi,1
whatev,hour,1
surpris,parent,1
morn,person,1
morn,glori,2
quit,doom-and-gloom,1
much,easier,1
pour,pan,1
part,creat,1
thick,book,1
sometim,coconut,1
around,idea,1
pack,breakfast,1
tell,idea,1
1981,wildli,1
make,even,1
read,thick,1
read,chapter,1
arefi,’,2
arefi,went,1
right,morn,1
coconut,spice,1
coconut,nod,1
care,watch,1
need,tell,1
first,publish,1
doom-and-gloom,impact,1
perfect,dome,1
perfect,whatev,1
sk,wheelhous,1
appl,dri,1
like,parent,1
like,use,1
kitchen,’,1
tweak,arefi,1
offici,recip,1
chart,briberi,1
ginger,like,1
swap,whole,1
top,cake,1
plush,perfect,1
smitten,kitchen,1
wheelhous,—,1
raw,sugar,1
tri,everyth,1
tri,achiev,1
popular,decad,1
spice,’,1
origin,ginger,1
go,anoth,1
way,muffin,1
thing,lucki,1
salt,pepita,1
confus,“,1
watch,sunris,1
glory-ish,muffin,1
breakfast,earlier,1
breakfast,food,1
breakfast,leav,1
breakfast,know,1
infer,refer,1
earlier,hour,1
sleep,’,1
know,morn,1
easier,’,1
5/5:30am,’,1
uh,confus,1
also,requir,1
would,prayer,1
lucki,us,1
ad,dri,1
realiz,miss,1
just-because-it,’,1
wake,earli,1
wake,crack,1
everyth,chang,1
prayer,—,1
sofa,read,1
head,around,1
’,hardli,1
’,yet,1
’,taken,2
’,5/5:30am,1
’,sofa,1
’,tri,1
’,quit,1
’,thought,1
’,uh,1
’,made,1
’,snack,1
’,need,1
’,s-monday,1
’,fuss,1
’,tweak,1
’,recip,1
archiv,realiz,1
talk,sens,1
dome,pour,1
probabl,’,1
wire,—,1
wire,gave,1
whole,wheat,1
hour,normal,1
hour,call,1
s-monday,thing,1
anoth,round,1
pepita,top,1
load,carrot,1
tomororw,wonder,1
thought,would,1
requir,breakfast,1
arriv,doorstep,1
month,go,1
book,wonder,1
book,”,1
might,infer,1
within,sk,1
glori,cake,1
glori,muffin,1
carrot,appl,1
dawn,also,1
normal,peopl,1
fuss,muffin,1
snack,cake,2
”,’,2
liner,tri,1
recip,make,1
recip,pam,1
recip,first,1
lower,sugar,1
1978,restaur,1
wonder,care,1
wonder,cookbook,1
wonder,’,1
love,sleep,1
love,load,1
version,last,1
cake,probabl,1
cake,firmli,1
cake,everyday,1
cake,wonder,1
cake,remain,1
sugar,oil,1
sugar,white,1
pan,much,1
egg,fruit,1
breakfast-i,—,1
new,tomororw,1
well,coconut,1
person,son,1
publish,gourmet,1
one,hippie/morn,1
year,’,1
everyday,just-because-it,1
briberi,beg,1
food,”,1
chapter,book,1
think,cake,1
chees,sort,1
woken,earli,1
ask,pediatrician,1
parent,’,1
parent,love,1
cookbook,arriv,1
hippie/morn,glory-ish,1
son,alway,1
chang,wire,1
“,wake,1
“,breakfast,1
impact,’,1
use,toast,1
pediatrician,talk,1
lectur,star,1
went,right,1
nod,origin,1
pam,mckinstri,1
restaur,nantucket,1
sort,muffin,1
firmli,within,1
although,“,1
