Source,Target,Weight
platform,enabl,1
start,januari,1
trial,le,1
take,fit,1
take,quick,1
mood,shake,1
later,outsid,1
sweati,…,1
—,’,1
—,load,1
familiar,yet,1
day,winter,1
day,part,1
make,fit,1
make,health,1
make,take,1
januari,—,1
least,sign,1
le,mill,7
cold,weather,1
launch,sweet,1
like,perfect,1
like,bodypump,1
na,love,1
quit,readi,1
still,make,1
demand,’,2
demand,unlimit,1
els,mood,1
pump,’,1
popular,program,1
brand,new,1
mill,sponsor,1
mill,x,2
mill,demand,3
mill,workout,1
might,quit,1
gon,na,1
motiv,get,1
reason,month,1
reason,feel,1
got,thing,1
got,great,1
alway,great,1
click,anybodi,1
world-lead,workout,1
go,along,1
user,stream,1
bodypump,bodycombat,1
sign,us,1
sign,spring,1
winter,might,1
winter,day,1
wherev,may,1
readi,releas,1
follow,post,1
polici,click,1
shoe,go,1
sponsor,le,1
sponsor,post,1
trainer,’,1
temperatur,winter,1
certainli,make,1
whether,’,1
year,dive,1
alreadi,love,1
swap,cold,1
okay,whenev,1
cast,save,1
program,like,1
bodycombat,bodyflow,1
world-class,trainer,1
dive,someth,1
conveni,get,1
yet,le,1
fantast,new,1
fantast,platform,1
challeng,take,1
exclus,new,1
long,’,1
includ,amaz,1
along,sign,1
’,got,2
’,even,2
’,fantast,2
’,still,1
’,get,1
’,okay,1
’,gon,1
’,introduc,1
’,insid,1
lightweight,leg,1
leg,certainli,1
reebok,nano,2
best,month,1
30-day,free,1
introduc,exclus,1
load,reason,1
bodyflow,’,1
right,mayb,1
us,even,1
us,pump,1
well,prioriti,1
whenev,may,1
seri,workout,2
seri,le,1
excit,…,1
even,launch,1
even,’,1
even,swap,1
stream,cast,1
way,world-class,1
month,particular,1
month,get,1
new,excit,1
new,le,2
new,fit,1
new,workout,1
new,seri,1
new,science-back,1
sweatpant,lightweight,1
countri,least,1
amaz,30-day,1
fit,thank,1
fit,shoe,1
fit,prioriti,1
shake,workout,1
littl,appeal,1
jump,start,1
prioriti,right,1
prioriti,—,1
thank,new,1
hey,long,1
exercis,alreadi,1
part,countri,1
releas,ici,1
great,time,1
great,reason,1
someth,new,1
nano,seri,2
feel,like,1
feel,motiv,1
save,1000+,1
love,familiar,1
love,brand,1
may,alway,1
may,much,1
get,us,1
get,jump,1
get,psych,1
get,le,1
get,exercis,1
get,sweati,1
spring,warmer,1
high-energi,challeng,1
one,new,1
sweet,new,1
weather,serv,1
weather,sweatpant,1
anybodi,els,1
serv,workout,1
inspir,hey,1
1000+,world-lead,1
psych,sweat,1
mayb,’,1
insid,one,1
much,conveni,1
science-back,way,1
warmer,temperatur,1
warmer,weather,1
post,sponsor,1
post,polici,1
quick,workout,1
health,well,1
access,popular,1
…,’,1
…,warmer,1
free,trial,1
unlimit,access,1
fresh,high-energi,1
thing,fresh,1
perfect,time,1
workout,feel,1
workout,’,1
workout,get,2
workout,wherev,1
workout,inspir,1
workout,break,1
workout,later,1
grasp,day,1
appeal,whether,1
ici,grasp,1
particular,best,1
break,littl,1
x,reebok,2
enabl,user,1
time,year,1
time,make,1
sweat,includ,1
