Source,Target,Weight
”,“,1
”,even,1
”,say,2
”,post-partum,1
everyon,love,1
take,enough,1
take,500,1
protein,”,1
fork,“,1
need,asid,1
need,—,1
need,look,1
need,nourish,1
need,eat,1
need,take,1
need,provid,1
founder,mama,1
editor,fit,1
put,nutrit,1
outlet,includ,1
let,’,1
shot,ceo,1
share,guest,1
product,“,1
work,nation,1
import,time,1
import,new,1
import,one,1
medicin,specialist,1
professor,obstetr,1
—,especi,1
—,’,1
—,yep,1
day,pat,1
day,support,1
show,lactat,1
make,sure,1
three,meal,1
watch,mercuri,1
gain,without,1
turn,upsid,1
heal,deliveri,1
media,outlet,1
assist,professor,1
breast,milk,2
texa,“,1
nourish,keep,1
like,everyth,1
like,made,1
like,fuel,1
say,shivani,1
say,dr.,1
breastfeed,and/or,1
breastfeed,eat,1
top,tip,1
repair,heal,1
yep,’,1
still,eat,1
energy-storag,process,1
allow,metabol,1
per,day,1
happi,healthi,1
pat,back,1
remind,babi,1
conflict,messag,1
metabol,energy-storag,1
good,housekeep,1
good,job,1
good,portion,1
manag,three,1
daili,activ,1
daili,calori,1
deliveri,”,1
deliveri,new,1
go,strict,1
two,”,2
two,haze,1
two,research,1
"2,200",daili,1
read,kim,1
haze,no-sleep,1
mercuri,tuna,1
coach,former,1
shape,health,1
shivani,patel,1
made,realli,1
bodi,grow,1
bodi,need,2
keep,daili,1
compani,lactat,1
shift,allow,1
voic,seem,1
fitbit,current,1
lactat,women,2
tip,come,1
support,breast,1
farrel,certifi,1
lift,fork,1
schedul,import,1
mani,extra,1
ceo,founder,1
eat,two,3
eat,regular,1
eat,skimp,1
eat,enough,1
though,friendli,1
bottom,mama,1
kean,julia,1
ideal,rang,1
especi,’,1
industri,leader,1
maxim,fit,1
portion,calori,1
diet,let,1
want,maxim,1
“,’,1
“,watch,1
“,take,1
“,bodi,1
“,mom,1
“,good,1
seem,fade,1
talk,fit,1
specialist,assist,1
help,’,1
help,bodi,1
includ,good,1
includ,myfitnessp,1
slow,hormon,1
s-no-baby-in-her,state,1
rang,"1,800",1
extra,pound,1
extra,calori,1
nutrient,fuel,1
come,nutrit,1
come,post-partum,1
’,realli,1
’,get,1
’,breastfeed,2
’,share,1
’,call,1
’,top,1
’,pregnant,1
’,eat,2
’,look,1
’,import,1
’,carri,1
’,s-no-baby-in-her,1
’,still,1
housekeep,glamour,1
ut,southwestern,1
carri,deliveri,1
upsid,easi,1
fade,lot,1
messag,bodi,1
chang,like,1
regular,schedul,1
sabotag,breast,1
sabotag,milk,1
safeti,health,1
even,weird,1
suppli,talk,1
suppli,—,1
job,mama,1
smart,choic,1
obstetr,gynecolog,1
new,mom,5
calori,eat,1
calori,per,1
calori,”,1
calori,need,1
skimp,food,1
fit,fanat,1
fit,industri,1
fit,gain,1
fit,bottom,1
crave,cheap,1
tuna,—,1
healthi,babi,1
pound,think,1
sure,’,1
dalla,texa,1
process,get,1
weird,crave,1
back,workout,1
back,“,1
back,’,1
matter,mani,1
newborn,day,1
everyth,chang,1
everyth,world,1
guest,post,1
croissant,like,1
babi,lift,1
babi,good,1
grow,happi,1
mama,love,1
mama,read,1
mama,come,1
medic,center,1
choic,help,1
no-sleep,newborn,1
asid,’,1
love,nutrit,1
love,remind,1
kim,dali,1
kim,work,1
kim,’,1
state,’,1
get,nutrient,1
get,back,2
chocol,croissant,1
burrito,chocol,1
realli,realli,1
realli,import,1
realli,smart,1
glamour,shape,1
m.d,maternal-fet,1
one,matter,1
and/or,get,1
period,though,1
period,time,1
julia,kim,1
first,manag,1
nutrit,need,1
nutrit,new,2
nutrit,compani,1
snack,two,1
enough,calori,1
enough,sabotag,1
myfitnessp,fitbit,1
sentenc,’,1
dali,farrel,1
world,turn,1
look,like,1
look,sentenc,1
mom,everyth,1
mom,kim,1
mom,kean,1
mom,’,1
mom,”,1
mom,need,1
mom,ideal,1
without,sabotag,1
post,nutrit,1
magazin,editor,1
milk,safeti,1
milk,suppli,1
milk,product,1
fuel,need,1
fuel,first,1
food,slow,1
research,show,1
500,extra,1
health,coach,1
health,fit,1
health,suppli,1
gynecolog,ut,1
friendli,voic,1
activ,repair,1
nation,media,1
pregnant,everyon,1
dr.,patel,1
leader,includ,1
southwestern,medic,1
meal,snack,1
women,want,1
women,need,1
patel,m.d,1
patel,“,1
former,magazin,1
center,dalla,1
fanat,mom,1
workout,help,1
becom,new,1
"1,800","2,200",1
post-partum,period,2
think,’,1
easi,put,1
current,’,1
provid,protein,1
hormon,shift,1
maternal-fet,medicin,1
time,make,1
time,go,1
strict,diet,1
certifi,health,1
cheap,burrito,1
lot,conflict,1
call,shot,1
