Source,Target,Weight
other,worldwid,1
stuff,’,1
normalci,mani,1
”,look,1
start,school,1
start,think,1
also,bring,1
also,develop,1
take,creativ,1
need,especi,1
need,equip,1
stress,much,1
give,us,1
give,educ,1
complex,rapidli,1
anderson,co-found,1
angela,anderson,1
angela,crate,1
incub,innov,2
face,variou,1
empathet,impact,1
benefit,entir,1
cool,stuff,1
show,kid,1
circumst,challeng,1
environ,offer,1
encourag,learn,1
age,school,1
skill,also,1
skill,attribut,1
life,use,1
offer,coach,1
like,equip,1
like,stare,1
like,year,1
co-found,incub,1
school,parent,1
school,year,3
school,”,1
celebr,face,1
action,solv,1
children,age,1
children,resili,1
children,need,1
children,specif,1
children,prepar,1
children,changemak,1
children,young,1
might,hold,1
equip,famili,1
equip,empow,3
equip,take,1
special,celebr,1
miss,activ,1
pedagog,practic,1
daili,resourc,1
tool,transform,1
got,mom,1
stare,futur,1
big,emot,1
changemak,mindset,2
changemak,impact,1
changemak,world,1
parent,stress,1
parent,longer,1
parent,show,1
rais,children,1
read,tip,1
togeth,educ,1
growth,innov,1
coach,extens,1
empow,children,2
empow,navig,1
entir,live,1
emot,abound,1
creat,opportun,1
embrac,changemak,1
creativ,action,1
tip,equip,1
tip,best,1
vehicl,rais,1
mani,wonder,1
year,prepar,1
year,might,1
year,job,1
year,also,1
innov,help,1
innov,give,1
innov,pedagog,1
innov,use,1
ambigu,complex,1
wrestl,mom,1
especi,read,1
use,21st-centuri,1
use,like,1
bit,develop,1
justic,chang,1
opportun,basic,1
opportun,empathet,1
navig,ambigu,1
“,back,1
challeng,come,1
help,give,1
help,children,1
experi,environ,1
come,school,1
come,week,1
come,way,1
around,changemak,1
solv,problem,1
specif,someth,1
extens,resourc,1
’,got,1
’,super,1
basic,super,1
best,prepar,1
happen,come,1
develop,fuel,1
develop,skill,1
hold,look,1
right,come,1
chang,world,1
chang,unknown,1
us,tip,1
impact,daili,1
impact,way,1
pillar,normalci,1
mourn,loss,1
loss,life,1
famili,resili,1
bring,togeth,1
problem,creat,1
super,cool,1
super,need,1
job,parent,1
way,question,1
way,embrac,1
teach,learn,1
cultiv,matter,1
cultiv,resili,1
practic,tool,1
week,amanda,1
wonder,“,1
matter,happen,1
matter,circumst,1
back,school,1
breach,pillar,1
network,changemak,1
someth,rather,1
feel,’,1
feel,unknown,1
transform,teach,1
mindset,bit,1
mindset,cultiv,1
prepar,kid,1
prepar,children,2
prepar,anyth,1
prepar,start,1
rapidli,chang,1
variou,concern,1
educ,amanda,1
educ,innov,1
educ,other,1
educ,ever,1
question,wrestl,1
learn,experi,1
learn,opportun,1
concern,viral,1
young,peopl,1
amanda,kopischk,1
amanda,angela,1
much,imagin,1
look,like,2
world,mourn,1
world,equip,1
mom,educ,2
kopischk,angela,1
crate,incub,1
fuel,growth,1
abound,miss,1
ever,children,1
viral,pandem,1
advoc,social,1
activ,special,1
imagin,kid,1
collabor,encourag,1
futur,feel,1
longer,prepar,1
unknown,right,1
unknown,big,1
unknown,breach,1
resili,matter,1
resili,cultiv,1
resili,vehicl,1
resili,help,1
kid,feel,1
kid,school,1
kid,uncertain,1
rather,equip,1
peopl,prepar,1
anyth,resili,1
uncertain,time,1
resourc,around,1
resourc,collabor,1
think,parent,1
pandem,advoc,1
attribut,benefit,1
live,start,1
21st-centuri,skill,1
worldwid,network,1
lot,unknown,1
social,justic,1
