Source,Target,Weight
small,commiss,1
”,—,1
”,recip,2
bar,fanci,1
butterb,huge,1
theme,wonder,1
fun,educ,1
fun,recip,1
fun,want,1
full,butterscotch-i,1
let,’,1
let,us,1
commiss,thank,1
courtesi,ulyss,1
share,tasti,1
share,butterscotch,1
product,compani,1
dessert,snack,1
give,sweet,1
give,tri,1
complex,kid,1
spellbind,recip,1
—,kid,1
—,’,1
excerpt,unoffici,1
birthday,next,1
birthday,daughter,1
bing,watch,1
three,broomstick,1
alana,al-hatlani,2
watch,harri,1
potion,master,1
idea,would,1
idea,brown,1
skill,recip,1
ny,right,1
flavor,rich,1
definit,gon,1
content,pure,1
sugar,replac,1
like,honey,1
pretend,three,1
na,one,1
simpl,spellbind,1
simpl,fun,1
link,may,2
rich,sweet,1
cheer,butterb,1
receiv,product,1
receiv,compens,1
receiv,small,1
altern,like,1
els,’,1
butterscotch,“,3
allow,us,1
potter,movi,1
potter,theme,1
pleas,breakfast,1
fave,—jenn,1
unless,otherwis,1
york,ny,1
everi,fall,1
happi,birthday,1
whip,someth,1
jenn,idea,1
gon,na,1
given,permiss,1
would,love,1
would,give,1
often,receiv,1
good,sip,1
fanci,photo,1
septemb,exactli,1
alway,entir,1
vibe,movi,1
