Source,Target,Weight
candid,vanderbilt,1
difficulti,focus,1
difficulti,highlight,1
photo,lum3n,1
seen,figur,1
motiv,particularli,1
across,multipl,1
want,know,1
first,help,1
research,focus,1
research,bridg,1
research,barbieri,1
research,studi,1
principl,studi,1
knowledg,i.e,2
knowledg,step,1
knowledg,domain,1
either,consist,1
solut,step,1
one,studi,1
one,seen,1
creat,rebecca,1
55,studi,1
peopl,think,1
peopl,mani,1
actual,answer,1
theori,practic,1
theori,state,1
thing,like,1
thing,time,1
thing,focu,1
help,learn,1
help,student,1
help,math,1
help,understand,1
help,overcom,1
work,dissert,1
work,rebecca,1
work,exampl,13
work,work,1
worksheet,math,1
statist,summar,1
analyz,result,1
phase,test,1
phase,depend,1
phase,either,1
phase,gener,1
fact,foreign,1
lum3n,pexel,1
altern,work,1
post,origin,1
effect,help,1
effect,techniqu,1
effect,work,3
scienc,sometim,1
dissert,self-regul,1
self-explain,step,1
math,problem,1
math,studi,1
math,learn,4
math,teacher,1
math,materi,1
undergo,learn,1
need,procedur,1
need,learn,1
multipl,domain,1
multipl,research,1
think,last,1
think,limit,1
depart,psycholog,1
clerjust,chawla,1
better,test,1
sometim,work,1
like,fact,1
like,one,1
like,typic,1
limit,amount,1
current,work,1
understand,cognit,1
i.e,knowledg,2
adler,rebecca,1
adler,phd,1
adler,work,1
time,solv,1
time,2,1
tradit,problem-solv,2
answer,question,1
necessari,solv,1
paint,post,1
prompt,student,1
focus,student,1
focus,relev,1
focu,may,1
figur,problem,1
challeng,math,1
load,theori,1
strategi,best,1
strategi,help,1
techniqu,math,1
techniqu,statist,1
bridg,theori,1
develop,research,1
assign,condit,1
overwhelm,’,1
vanderbilt,univers,1
investig,work,1
investig,effect,1
solv,challeng,1
solv,problem,2
conceptu,knowledg,1
topic,specif,1
studi,hope,1
studi,strategi,2
studi,work,3
studi,topic,1
studi,investig,1
pair,tradit,1
hope,continu,1
summar,result,1
accompani,prompt,1
publish,cogbit,1
depend,student,1
particularli,context,1
sing,volleybal,1
continu,conduct,1
suggest,student,1
enjoy,sing,1
engin,comput,1
materi,cover,1
’,know,1
’,assign,1
gener,studi,1
problem-solv,found,1
problem-solv,problem-solv,1
problem-solv,like,1
problem-solv,although,1
question,conduct,1
human,develop,1
evid,suggest,1
felt,overwhelm,1
state,peopl,1
cognit,load,1
barbieri,miller-cotto,1
comput,scienc,1
univers,depart,1
teacher,may,1
cover,photo,1
cover,learn,1
3,want,1
practic,work,1
practic,test,1
consist,altern,1
start,know,1
1,best,1
given,test,1
pexel,think,1
pexel,effect,1
self-regul,motiv,1
self-regul,studi,1
conduct,research,1
conduct,meta-analysi,1
procedur,knowledg,1
imag,creat,1
imag,yan,1
2,peopl,1
specif,analyz,1
best,learn,2
origin,publish,1
condit,learn,1
context,mathemat,1
typic,experi,1
typic,worksheet,1
alreadi,work,1
foreign,languag,1
volleybal,paint,1
last,time,1
includ,mathemat,1
perform,better,1
highlight,relev,1
experi,investig,1
experi,show,1
chawla,3,1
miller-cotto,clerjust,1
although,mani,1
found,effect,1
meta-analysi,techniqu,1
mani,thing,1
mani,experi,1
domain,principl,1
domain,includ,1
overcom,difficulti,1
may,difficulti,1
may,given,1
cogbit,websit,1
know,start,1
know,substanti,1
know,effect,1
psycholog,human,1
amount,thing,1
relev,inform,2
krukau,pexel,1
step,necessari,1
step,alreadi,1
step,involv,1
student,self-regul,1
student,learn,2
student,need,1
student,self-explain,1
student,undergo,1
student,’,1
websit,cover,1
yan,krukau,1
rebecca,adler,3
rebecca,enjoy,1
phd,candid,1
problem,perhap,1
problem,conceptu,1
problem,solut,1
problem,across,1
physic,engin,1
mathemat,current,1
mathemat,student,1
mathemat,one,1
mathemat,physic,1
learn,thing,1
learn,mathemat,2
learn,math,1
learn,solv,1
learn,first,1
learn,studi,1
learn,phase,3
learn,research,1
learn,imag,1
exampl,work,1
exampl,like,1
exampl,pair,1
exampl,accompani,1
exampl,help,2
exampl,student,1
exampl,tradit,1
exampl,perform,1
exampl,effect,1
exampl,actual,1
exampl,math,2
inform,need,1
inform,typic,1
show,work,1
substanti,evid,1
perhap,felt,1
result,multipl,1
result,55,1
involv,imag,1
languag,practic,1
test,1,1
test,phase,1
test,math,1
test,problem-solv,1
