Source,Target,Weight
exclus,prepar,1
photo,fruper,1
want,tell,1
want,typic,1
want,studi,2
across,multipl,1
sure,feel,1
option,retriev,1
first,studi,1
first,question,1
research,often,1
research,studi,1
research,ask,1
group,particip,2
either,receiv,2
lot,practic,1
lot,space,1
one,thing,1
one,better,1
one,got,1
experimenter-control,effect,1
experimenter-control,group,1
see,word,1
would,given,1
retriev,practic,4
thing,’,1
space,practic,1
chose,take,1
way,frankli,1
way,given,1
way,want,1
way,one,1
way,participant-control,1
take,practic,2
item,experimenter-control,1
item,divid,1
item,often,1
self-test,skip,1
self-test,perhap,1
rotat,sometim,1
rotat,sure,1
moteoo,pixabay,1
effect,way,2
effect,vs.,1
other,got,1
need,answer,1
board,exam,1
coupl,differ,1
multipl,time,1
multipl,choic,4
get,short,1
”,chose,1
stick,1,1
better,imag,1
though,exampl,1
sometim,exclus,1
drop,question,1
drop,word,1
drop,item,1
drop,deck,2
small,differ,1
answer,keep,1
answer,question,4
answer,told,1
answer,ask,1
answer,test,1
time,matter,1
time,often,1
time,stick,1
time,drop,1
effici,know,1
effici,seri,1
effici,way,1
restudi,item,1
got,incorrect,1
got,decid,1
got,right,1
got,multipl,1
got,short,1
got,question,1
prepar,exam,1
prepar,board,1
fruper,pixabay,1
often,use,1
often,need,1
often,knew,1
ask,want,1
ask,student,1
shelf,exam,1
divid,one,1
give,advic,1
whether,want,1
skip,feedback,1
correct,answer,2
school,student,1
class,shelf,1
studi,’,1
studi,particip,2
studi,english-german,1
studi,take,1
studi,test,1
studi,word,1
use,lot,1
use,prepar,1
use,question,1
pair,coupl,1
pair,whether,1
pair,“,1
depend,condit,2
seri,studi,1
materi,effect,1
incorrect,rotat,1
today,2,1
feedback,correct,1
realiz,give,1
issu,effect,1
’,realiz,1
’,time,1
’,review,1
right,1,1
right,drop,1
question,bank,1
question,got,1
question,multipl,1
question,effici,1
question,cu,1
question,depend,1
question,research,1
question,right,1
question,small,1
question,vs.,1
question,make,1
differ,way,1
differ,though,1
short,answer,4
unsurprisingli,student,1
cindi,nebel,1
advic,student,1
particip,either,1
particip,studi,1
particip,got,2
particip,first,1
particip,restudi,1
tell,review,1
deck,”,1
deck,particip,1
deck,true,1
cover,photo,1
frankli,’,1
choic,question,2
choic,test,1
choic,self-test,1
choic,short,1
3,5,1
5,time,1
practic,test,3
practic,retriev,1
practic,want,1
practic,research,1
practic,experimenter-control,1
practic,way,1
1,research,1
1,3,1
given,option,1
given,choic,1
tackl,issu,1
nebel,posit,1
word,pair,3
word,item,1
posit,med,1
bank,self-test,1
feel,effici,1
2,tackl,1
imag,moteoo,1
go,get,1
told,correct,1
recal,short,1
condit,gave,1
condit,first,1
typic,drop,1
matter,someon,1
gave,answer,1
review,materi,1
review,today,1
clinic,rotat,1
cu,recal,1
“,deck,1
someon,know,1
english-german,word,1
know,lot,1
know,retriev,1
make,sens,1
student,use,1
student,time,1
student,would,1
student,got,1
receiv,retriev,1
receiv,multipl,1
keep,question,1
pixabay,cindi,1
pixabay,studi,1
exampl,particip,1
med,school,1
decid,see,1
participant-control,group,1
perhap,unsurprisingli,1
vs.,effici,1
vs.,multipl,1
knew,go,1
true,across,1
test,use,1
test,drop,2
test,either,1
test,other,1
test,depend,1
exam,class,1
exam,clinic,1
exam,one,1
